iter	Passed	Remaining
0	1040	415321
1	2038	405734
2	3059	404936
3	4011	397108
4	5041	398241
5	6271	411812
6	7902	443644
7	9322	456791
8	11285	490279
9	12656	493592
10	13770	486971
11	14770	477591
12	15821	470999
13	16916	466422
14	17915	459823
15	19008	456214
16	19980	450154
17	20998	445628
18	22049	442141
19	23242	441613
20	24794	447486
21	26315	452151
22	27453	449998
23	28854	452047
24	30224	453365
25	31792	457320
26	33280	459765
27	34556	459108
28	35799	457980
29	37293	459958
30	38518	458490
31	39879	458614
32	41048	456509
33	41471	446424
34	42679	445087
35	43867	443550
36	45234	443789
37	46565	443597
38	47844	442867
39	49042	441379
40	50381	441145
41	50785	432883
42	51937	431205
43	52849	427601
44	53855	424858
45	54792	421660
46	56346	423200
47	57420	421081
48	58595	419737
49	59522	416655
50	60450	413670
51	61393	410867
52	62720	410644
53	63177	404804
54	64215	402806
55	65520	402482
56	66803	401993
57	68289	402671
58	69437	401326
59	70639	400288
60	71916	399669
61	73493	400659
62	74889	400600
63	76072	399379
64	77356	398682
65	78559	397560
66	79825	396746
67	81087	395898
68	82496	395742
69	84634	398989
70	86830	402354
71	88066	401191
72	89268	399871
73	90515	398758
74	91644	397126
75	93031	396607
76	94441	396161
77	95757	395307
78	97054	394359
79	98707	394828
80	100052	394035
81	101314	392903
82	102706	392265
83	104769	394133
84	106387	394257
85	108562	396379
86	109820	395103
87	111998	397087
88	113249	395738
89	115368	397378
90	115996	393878
91	117483	393314
92	118617	391565
93	120358	391805
94	121281	389378
95	122220	387031
96	123194	384824
97	124165	382633
98	125103	380366
99	126285	378856
100	127857	378509
101	128927	376671
102	130418	376059
103	131652	374702
104	131936	370677
105	134029	371742
106	135266	370401
107	136613	369362
108	137841	367997
109	140060	369250
110	141335	367982
111	143626	369324
112	144880	367971
113	146318	367079
114	147407	365314
115	148622	363867
116	149934	362662
117	151157	361240
118	153202	361763
119	155411	362627
120	156526	360915
121	157832	359650
122	159057	358202
123	160054	356251
124	161240	354729
125	162413	353183
126	163913	352349
127	165007	350640
128	167097	351033
129	169105	351219
130	170254	349606
131	172321	349865
132	173692	348690
133	175209	347804
134	175578	344654
135	177629	344810
136	178806	343256
137	180904	343455
138	182921	343470
139	185113	343781
140	186334	342273
141	188425	342350
142	190378	342148
143	191867	341097
144	193848	340906
145	195943	340887
146	197348	339654
147	199112	339030
148	200452	337674
149	202656	337760
150	204714	337575
151	206803	337416
152	208792	337069
153	210838	336793
154	212838	336422
155	214951	336206
156	217081	335991
157	219071	335539
158	221037	335031
159	222998	334498
160	225010	334021
161	227012	333512
162	229104	333114
163	231154	332637
164	233227	332172
165	235373	331792
166	237220	330971
167	238788	329755
168	240322	328487
169	241788	327126
170	243269	325781
171	244763	324454
172	246405	323318
173	248539	322815
174	250487	322054
175	252504	321369
176	254240	320314
177	255776	319002
178	257311	317686
179	258819	316334
180	260336	314993
181	261837	313629
182	263491	312446
183	265512	311688
184	267696	311106
185	269781	310393
186	271987	309803
187	273989	308967
188	275978	308102
189	278064	307334
190	280066	306459
191	282190	305706
192	284188	304803
193	286162	303863
194	288197	302977
195	290360	302211
196	292009	300903
197	293546	299476
198	295066	298031
199	296565	296565
200	298051	295086
201	299576	293644
202	301418	292509
203	303461	291560
204	305534	290630
205	307493	289581
206	309603	288663
207	311749	287768
208	313678	286663
209	315679	285614
210	317703	284578
211	319666	283477
212	321650	282387
213	323544	281211
214	325488	280071
215	327472	278958
216	329449	277830
217	331588	276830
218	333543	275668
219	335463	274470
220	337357	273244
221	338841	271683
222	340929	270603
223	342952	269462
224	344936	268283
225	346853	267046
226	348828	265846
227	350869	264690
228	352817	263457
229	354903	262320
230	356908	261114
231	358624	259693
232	360160	258140
233	361665	256566
234	363166	254988
235	364651	253401
236	366220	251872
237	367949	250452
238	369880	249166
239	371917	247944
240	373895	246678
241	376057	245524
242	378064	244263
243	380131	243035
244	382131	241756
245	384059	240427
246	385993	239097
247	388179	237916
248	390204	236630
249	392145	235287
250	394195	234004
251	396219	232700
252	398261	231400
253	400359	230127
254	402424	228829
255	404476	227518
256	406487	226178
257	408393	224774
258	410404	223424
259	412608	222173
260	414538	220769
261	416468	219361
262	418451	217976
263	420520	216631
264	422565	215269
265	424602	213897
266	426574	212488
267	428531	211067
268	430478	209638
269	432502	208241
270	434448	206803
271	436464	205395
272	438639	204055
273	440556	202591
274	442513	201142
275	444475	199691
276	446554	198289
277	448578	196858
278	450649	195442
279	452838	194073
280	454922	192654
