iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6876345214	0.6815832915	0.6510779926	0.6815832922	0.6815832922
1	0.6824151917	0.6854873685	0.6999955899	0.6854873682	0.6854873682
2	0.6774862849	0.6850876768	0.7036318855	0.6850876763	0.6850876763
3	0.6728751405	0.6856059495	0.7019132982	0.6856059491	0.6856059491
4	0.6685398442	0.685120466	0.6908794597	0.6851204659	0.6851204659
5	0.6643482905	0.6853836316	0.6967301404	0.6853836313	0.6853836313
6	0.6603862882	0.6855451601	0.7010680365	0.6855451597	0.6855451597
7	0.6567044604	0.6852466793	0.6956530164	0.685246679	0.685246679
8	0.6532622425	0.6856975722	0.6981259914	0.6856975719	0.6856975719
9	0.6499561978	0.685705975	0.6982542841	0.6857059747	0.6857059747
10	0.6469060846	0.6859877886	0.7004512962	0.6859877882	0.6859877882
11	0.6439882989	0.6860580164	0.7013139308	0.686058016	0.686058016
12	0.6412580659	0.6860887342	0.7012223887	0.6860887339	0.6860887339
13	0.6386249558	0.6861901466	0.7028828434	0.6861901462	0.6861901462
14	0.6361692093	0.6860800491	0.7004025183	0.6860800487	0.6860800487
15	0.633889478	0.6865386756	0.7055622894	0.6865386751	0.6865386751
16	0.6316868841	0.6863288317	0.7018758795	0.6863288313	0.6863288313
17	0.6296375274	0.6865537131	0.7041443881	0.6865537126	0.6865537126
18	0.6276485867	0.6866146038	0.7048205974	0.6866146034	0.6866146034
19	0.6258082991	0.6866190884	0.7038557295	0.686619088	0.686619088
20	0.6241373238	0.6864572067	0.7037481508	0.6864572063	0.6864572063
21	0.6224951044	0.686647154	0.7028073378	0.6866471536	0.6866471536
22	0.6208854908	0.6867399216	0.7033024674	0.6867399212	0.6867399212
23	0.6194210477	0.6867478281	0.7022874852	0.6867478277	0.6867478277
24	0.6180559631	0.6867223324	0.7022052977	0.686722332	0.686722332
25	0.6167303124	0.6867208951	0.7023295812	0.6867208948	0.6867208948
26	0.6154767979	0.6867915058	0.7023255721	0.6867915054	0.6867915054
27	0.6143109996	0.686773486	0.7023770228	0.6867734856	0.6867734856
28	0.61316395	0.6867766741	0.7027425233	0.6867766737	0.6867766737
29	0.6121179648	0.6867712289	0.7027325004	0.6867712285	0.6867712285
30	0.6111172446	0.6867746656	0.7028093424	0.6867746652	0.6867746652
31	0.6101567326	0.6868667787	0.7028801706	0.6868667784	0.6868667784
32	0.6092569668	0.686890815	0.7028962072	0.6868908146	0.6868908146
33	0.6084046057	0.6869111034	0.7032790807	0.686911103	0.686911103
34	0.6076068942	0.6869331295	0.7036933591	0.6869331291	0.6869331291
35	0.6068478492	0.6869011695	0.703507602	0.6869011691	0.6869011691
36	0.6061544411	0.6869680249	0.7038069516	0.6869680245	0.6869680245
37	0.6054916157	0.6869981863	0.7037849013	0.6869981858	0.6869981858
38	0.6048462547	0.6869738421	0.703549698	0.6869738417	0.6869738417
39	0.6042524062	0.6870106242	0.7032436666	0.6870106238	0.6870106238
40	0.6036785471	0.6870233758	0.7033164994	0.6870233754	0.6870233754
41	0.6031438629	0.6869457428	0.7036178535	0.6869457424	0.6869457424
42	0.6026285157	0.6869716863	0.7037361233	0.6869716859	0.6869716859
43	0.6021709115	0.687024054	0.7035998124	0.6870240536	0.6870240536
44	0.6017051385	0.6870629846	0.7030438774	0.6870629842	0.6870629842
45	0.6012755857	0.6870921639	0.7032456711	0.6870921635	0.6870921635
46	0.600873678	0.6871457425	0.7034641696	0.6871457421	0.6871457421
47	0.600463515	0.6871734073	0.7038183108	0.6871734069	0.6871734069
48	0.6001020127	0.6871953082	0.7045426299	0.6871953078	0.6871953078
49	0.5997437795	0.6871969883	0.703734787	0.6871969879	0.6871969879
50	0.5993928878	0.6872255264	0.7039706584	0.687225526	0.687225526
51	0.5990625241	0.6872271258	0.703853725	0.6872271254	0.6872271254
52	0.5987744529	0.6872313215	0.7035229704	0.6872313211	0.6872313211
53	0.5984918513	0.687289779	0.7026997591	0.6872897786	0.6872897786
54	0.5982229603	0.6872813449	0.7026489765	0.6872813445	0.6872813445
55	0.5979590037	0.6873122471	0.7027552189	0.6873122468	0.6873122468
56	0.5977042905	0.6872975315	0.7031300741	0.6872975311	0.6872975311
57	0.5974508466	0.6872947492	0.7034775334	0.6872947488	0.6872947488
58	0.5972278446	0.6873238677	0.7035029247	0.6873238673	0.6873238673
59	0.5970093379	0.6873378425	0.7029997768	0.6873378421	0.6873378421
60	0.5967912668	0.6873138045	0.703315163	0.6873138042	0.6873138042
61	0.59661033	0.6873446977	0.70368935	0.6873446973	0.6873446973
62	0.5964403863	0.6873672819	0.7037027138	0.6873672815	0.6873672815
63	0.5962685603	0.6873867241	0.7034000233	0.6873867237	0.6873867237
64	0.5961067521	0.6874318777	0.7032997946	0.6874318773	0.6874318773
65	0.5959413267	0.6873787526	0.7035122793	0.6873787522	0.6873787522
66	0.5957875132	0.6873847839	0.7037067229	0.6873847835	0.6873847835
67	0.5956454823	0.6874348814	0.7034675105	0.687434881	0.687434881
