iter	Passed	Remaining
0	807	806879
1	1397	697597
2	1787	593953
3	2210	550429
4	2782	553630
5	3182	527176
6	3705	525715
7	4079	505860
8	4781	526549
9	5159	510810
10	5674	510196
11	6032	496716
12	6519	494992
13	6887	485101
14	7339	481928
15	7743	476221
16	8254	477285
17	9187	501253
18	9711	501405
19	10103	495055
20	10600	494202
21	10944	486545
22	11399	484237
23	11804	480042
24	12169	474606
25	12945	484957
26	13513	486989
27	13897	482439
28	14382	481552
29	14864	480626
30	15260	477000
31	15919	481560
32	16515	483947
33	17119	486393
34	17663	486999
35	18029	482796
36	18506	481680
37	18884	478079
38	19408	478236
39	19891	477398
40	20508	479706
41	21119	481720
42	21663	482141
43	22011	478255
44	22481	477107
45	22848	473864
46	23348	473433
47	23759	471229
48	24116	468048
49	24990	474816
50	25667	477619
51	26089	475638
52	26615	475557
53	26976	472596
54	27414	471032
55	27775	468215
56	28150	465722
57	28937	469987
58	29562	471498
59	29940	469063
60	30591	470906
61	30976	468637
62	31447	467723
63	31820	465376
64	32148	462445
65	32923	465918
66	33509	466634
67	33902	464656
68	34375	463822
69	34765	461879
70	35169	460181
71	35678	459854
72	36038	457642
73	36781	460261
74	37547	463081
75	37939	461266
76	38437	460755
77	38822	458903
78	39173	456695
79	39664	456146
80	40019	454052
81	40778	456521
82	41569	459264
83	41989	457888
84	42513	457650
85	42906	456006
86	43401	455470
87	43797	453904
88	44169	452115
89	44874	453734
90	45392	453424
91	45790	451929
92	46346	452001
93	46755	450646
94	47134	449019
95	47587	448115
96	47935	446245
97	48610	447419
98	49135	447184
99	49613	446523
100	49956	444661
101	50427	443961
102	50789	442312
103	51143	440621
104	51650	440259
105	52003	438599
106	52696	439797
107	53076	438373
108	53593	438088
109	53950	436509
110	54427	435910
111	54804	434519
112	55170	433063
113	55663	432614
114	56026	431157
115	56850	433240
116	57437	433483
117	57852	432420
118	58371	432143
119	58745	430800
120	59102	429350
121	59595	428893
122	59952	427469
123	60675	428646
124	61177	428241
125	61684	427878
126	62098	426868
127	62588	426386
128	62964	425129
129	63426	424471
130	63815	423324
131	64145	421803
132	65003	423743
133	65490	423247
134	65856	421969
135	66330	421393
136	66712	420242
137	67158	419494
138	67795	419940
139	68174	418783
140	68825	419296
141	69168	417934
142	69677	417578
143	70052	416423
144	70537	415925
145	70886	414639
146	71367	414123
147	71727	412916
148	72095	411769
149	72872	412941
