iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6931445805	0.6815832915	0.6510779926	0.6815832922	0.6815832922
1	0.6931419714	0.6854873685	0.6999955899	0.6854873682	0.6854873682
2	0.6931393573	0.6850980494	0.7037073911	0.6850980489	0.6850980489
3	0.6931367571	0.6859412693	0.7002528435	0.685941269	0.685941269
4	0.6931341498	0.6856506933	0.697264025	0.685650693	0.685650693
5	0.693131516	0.6859906071	0.6990320585	0.6859906068	0.6859906068
6	0.6931288741	0.6857142363	0.6957873228	0.6857142361	0.6857142361
7	0.6931262921	0.6853911281	0.6973856358	0.6853911278	0.6853911278
8	0.6931236866	0.6860036526	0.6974765097	0.6860036523	0.6860036523
9	0.6931210896	0.6859315059	0.6988316012	0.6859315056	0.6859315056
10	0.6931184719	0.6858696406	0.6953329529	0.6858696404	0.6858696404
11	0.693115846	0.6859363247	0.695892897	0.6859363245	0.6859363245
12	0.6931132421	0.6860685496	0.6986184482	0.6860685493	0.6860685493
13	0.6931106317	0.6858950885	0.6988068781	0.6858950882	0.6858950882
14	0.6931080111	0.6860332476	0.6964027268	0.6860332474	0.6860332474
15	0.693105368	0.6862034136	0.6987327089	0.6862034133	0.6862034133
16	0.6931027513	0.6864361001	0.7001552876	0.6864360998	0.6864360998
17	0.6931001177	0.6864934266	0.7000069492	0.6864934263	0.6864934263
18	0.6930975201	0.686608915	0.7009952037	0.6866089147	0.6866089147
19	0.6930949101	0.6866061402	0.7014061412	0.6866061398	0.6866061398
20	0.6930922877	0.6865697425	0.7005141062	0.6865697422	0.6865697422
21	0.6930896974	0.6865032634	0.7006738038	0.686503263	0.686503263
22	0.6930870883	0.6865871911	0.700405191	0.6865871907	0.6865871907
23	0.6930844765	0.6865829271	0.700496065	0.6865829267	0.6865829267
24	0.6930818343	0.6865494047	0.7007446321	0.6865494044	0.6865494044
25	0.6930792187	0.6865007906	0.7009090071	0.6865007902	0.6865007902
26	0.6930766144	0.6865351089	0.7005702342	0.6865351086	0.6865351086
27	0.6930740153	0.6865211909	0.7005234609	0.6865211906	0.6865211906
28	0.6930713863	0.6864734724	0.7007600005	0.686473472	0.686473472
29	0.693068773	0.6864171757	0.7004025183	0.6864171754	0.6864171754
30	0.6930661218	0.686398485	0.7002341341	0.6863984847	0.6863984847
31	0.6930634656	0.6864075768	0.7000463725	0.6864075765	0.6864075765
32	0.6930608743	0.6863685188	0.6998546016	0.6863685184	0.6863685184
33	0.6930582397	0.686347501	0.7001332373	0.6863475007	0.6863475007
34	0.6930556449	0.6863093105	0.6994282958	0.6863093102	0.6863093102
35	0.6930530101	0.686427699	0.6996955722	0.6864276987	0.6864276987
36	0.6930503835	0.6865236728	0.700020313	0.6865236725	0.6865236725
37	0.6930477656	0.6864550575	0.699499124	0.6864550572	0.6864550572
38	0.6930451392	0.6864632965	0.6999514893	0.6864632962	0.6864632962
39	0.6930424965	0.6865410349	0.7002074065	0.6865410345	0.6865410345
40	0.6930398639	0.6865403475	0.7001920381	0.6865403472	0.6865403472
41	0.6930372648	0.6865759911	0.7004974014	0.6865759908	0.6865759908
42	0.693034655	0.686620734	0.7006784812	0.6866207336	0.6866207336
43	0.6930320299	0.6866784679	0.7009116798	0.6866784676	0.6866784676
44	0.6930293924	0.686667054	0.7005521931	0.6866670536	0.6866670536
45	0.6930267708	0.6866025059	0.7006731356	0.6866025056	0.6866025056
46	0.6930241473	0.6866499998	0.7005842662	0.6866499994	0.6866499994
47	0.6930215466	0.6866193609	0.7003163216	0.6866193606	0.6866193606
48	0.6930189618	0.6866310696	0.700436596	0.6866310692	0.6866310692
49	0.6930163785	0.6866178719	0.6999962581	0.6866178715	0.6866178715
50	0.6930137651	0.6865496715	0.6999200844	0.6865496711	0.6865496711
51	0.6930111427	0.6865343788	0.6998425742	0.6865343785	0.6865343785
52	0.6930085425	0.6865556715	0.7001920381	0.6865556711	0.6865556711
53	0.6930059317	0.6866406643	0.7000664182	0.686640664	0.686640664
54	0.693003298	0.6866512452	0.70019872	0.6866512449	0.6866512449
55	0.6930007197	0.6866295731	0.7000530544	0.6866295727	0.6866295727
56	0.6929981117	0.6865619662	0.7002247795	0.6865619658	0.6865619658
57	0.6929955217	0.6866029718	0.7001733288	0.6866029715	0.6866029715
58	0.6929929178	0.6865802181	0.7000891367	0.6865802177	0.6865802177
59	0.692990319	0.6866325488	0.699635435	0.6866325485	0.6866325485
60	0.6929877037	0.6866480884	0.6997557094	0.6866480881	0.6866480881
61	0.6929850738	0.686641206	0.69986997	0.6866412056	0.6866412056
62	0.6929825035	0.6866950958	0.6996447896	0.6866950954	0.6866950954
63	0.6929798718	0.686556237	0.6998546016	0.6865562367	0.6865562367
64	0.692977259	0.6866366728	0.6997276453	0.6866366725	0.6866366725
65	0.6929746122	0.6865870692	0.7000523862	0.6865870689	0.6865870689
66	0.6929719732	0.686546797	0.7001686514	0.6865467966	0.6865467966
67	0.692969351	0.6866081018	0.6999007068	0.6866081015	0.6866081015
68	0.6929667612	0.6865930544	0.7001973836	0.6865930541	0.6865930541
69	0.6929641195	0.6866672343	0.700023654	0.6866672339	0.6866672339
