iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6931469792	0.6815832915	0.6510779926	0.6815832922	0.6815832922
1	0.6931467772	0.6854873685	0.6999955899	0.6854873682	0.6854873682
2	0.6931465748	0.6850980494	0.7037073911	0.6850980489	0.6850980489
3	0.6931463735	0.6859412693	0.7002528435	0.685941269	0.685941269
4	0.6931461716	0.6856506933	0.697264025	0.685650693	0.685650693
5	0.6931459714	0.6858495209	0.6967414996	0.6858495206	0.6858495206
6	0.693145772	0.6859669306	0.6965697745	0.6859669304	0.6859669304
7	0.6931455721	0.6855214822	0.6896078921	0.6855214821	0.6855214821
8	0.6931453703	0.6856606883	0.690992384	0.6856606881	0.6856606881
9	0.693145168	0.6858903637	0.6921837686	0.6858903636	0.6858903636
10	0.6931449658	0.6858875065	0.6936170383	0.6858875063	0.6858875063
11	0.6931447609	0.6859295379	0.6923334434	0.6859295377	0.6859295377
12	0.6931445601	0.6859757476	0.6926441522	0.6859757474	0.6859757474
13	0.6931443573	0.685728054	0.6911727955	0.6857280538	0.6857280538
14	0.6931441556	0.6859023432	0.6922058189	0.685902343	0.685902343
15	0.6931439519	0.6860851816	0.6949681206	0.6860851814	0.6860851814
16	0.6931437485	0.6861275068	0.6951659052	0.6861275066	0.6861275066
17	0.6931435485	0.6860247633	0.6955761744	0.6860247631	0.6860247631
18	0.6931433436	0.6860482374	0.695266802	0.6860482372	0.6860482372
19	0.6931431381	0.6861501486	0.6960185169	0.6861501484	0.6861501484
20	0.6931429362	0.6861681816	0.6964254452	0.6861681813	0.6861681813
21	0.6931427342	0.6862253846	0.6962557247	0.6862253843	0.6862253843
22	0.6931425304	0.6862794217	0.6959109382	0.6862794215	0.6862794215
23	0.6931423281	0.6862589975	0.6964374727	0.6862589972	0.6862589972
24	0.6931421245	0.6862614464	0.6963432578	0.6862614461	0.6862614461
25	0.69314192	0.686302401	0.6972366292	0.6863024007	0.6863024007
26	0.6931417201	0.6862326177	0.6970729224	0.6862326174	0.6862326174
27	0.6931415187	0.686071001	0.6964722186	0.6860710008	0.6860710008
28	0.6931413164	0.686237718	0.6965463878	0.6862377177	0.6862377177
29	0.6931411147	0.6861508656	0.6962877979	0.6861508654	0.6861508654
30	0.693140912	0.6863756984	0.6974491139	0.6863756981	0.6863756981
31	0.6931407062	0.6864363307	0.6972927572	0.6864363304	0.6864363304
32	0.6931405054	0.6863151764	0.6971684737	0.6863151762	0.6863151762
33	0.6931403013	0.6863642367	0.6973716038	0.6863642365	0.6863642365
34	0.6931400991	0.68634503	0.6969272567	0.6863450297	0.6863450297
35	0.6931398981	0.6862235695	0.6962523838	0.6862235693	0.6862235693
36	0.6931396954	0.6862639875	0.6963479351	0.6862639872	0.6862639872
37	0.693139497	0.6862447239	0.6964535093	0.6862447236	0.6862447236
38	0.6931392963	0.6862342591	0.6962791114	0.6862342588	0.6862342588
39	0.6931390949	0.6863383221	0.6961180774	0.6863383218	0.6863383218
40	0.6931388913	0.6862743823	0.6966138751	0.6862743821	0.6862743821
41	0.6931386862	0.6863354681	0.6968885016	0.6863354679	0.6863354679
42	0.6931384827	0.6864104571	0.6970829452	0.6864104569	0.6864104569
43	0.6931382792	0.6864628586	0.6979268705	0.6864628584	0.6864628584
44	0.6931380748	0.6864590886	0.6981032729	0.6864590883	0.6864590883
45	0.6931378715	0.6864560684	0.6981400234	0.6864560681	0.6864560681
46	0.6931376682	0.6865271968	0.6980805544	0.6865271965	0.6865271965
47	0.6931374661	0.6864618453	0.6982282247	0.686461845	0.686461845
48	0.6931372657	0.686549818	0.698411309	0.6865498177	0.6865498177
49	0.6931370621	0.686576141	0.6983257805	0.6865761407	0.6865761407
50	0.6931368591	0.6865166974	0.6986465122	0.6865166971	0.6865166971
51	0.6931366554	0.6864780689	0.6990267129	0.6864780686	0.6864780686
52	0.6931364512	0.6865190524	0.6987848278	0.6865190521	0.6865190521
53	0.6931362478	0.6865701303	0.6986531942	0.68657013	0.68657013
54	0.6931360425	0.6865370746	0.6997911235	0.6865370743	0.6865370743
55	0.6931358386	0.6865125997	0.69947106	0.6865125993	0.6865125993
56	0.6931356345	0.6866275185	0.7000704273	0.6866275181	0.6866275181
57	0.6931354314	0.6864143745	0.6998966977	0.6864143742	0.6864143742
58	0.6931352305	0.6864665562	0.6998940249	0.6864665559	0.6864665559
59	0.6931350268	0.6864590342	0.6997109406	0.6864590339	0.6864590339
60	0.6931348232	0.6864560544	0.6994022363	0.686456054	0.686456054
61	0.6931346218	0.6865949576	0.6995732932	0.6865949573	0.6865949573
62	0.693134423	0.6864616947	0.6990106764	0.6864616944	0.6864616944
63	0.6931342221	0.686510471	0.6988536515	0.6865104707	0.6865104707
64	0.6931340222	0.6864907061	0.698810219	0.6864907058	0.6864907058
65	0.6931338165	0.6864804018	0.698974594	0.6864804015	0.6864804015
66	0.6931336159	0.6864366706	0.6988235829	0.6864366703	0.6864366703
67	0.6931334109	0.6864997888	0.698890402	0.6864997885	0.6864997885
68	0.6931332101	0.6865288908	0.6991202597	0.6865288905	0.6865288905
69	0.6931330052	0.6864652458	0.699376845	0.6864652454	0.6864652454
70	0.6931328033	0.6865103845	0.6991496601	0.6865103842	0.6865103842
71	0.6931326007	0.6864604286	0.6988743654	0.6864604283	0.6864604283
72	0.693132397	0.6864949923	0.6989097795	0.686494992	0.686494992
73	0.6931321935	0.6865564411	0.6991850742	0.6865564408	0.6865564408
74	0.6931319915	0.6866048396	0.6989004248	0.6866048393	0.6866048393
75	0.6931317894	0.6867157266	0.6995064741	0.6867157263	0.6867157263
76	0.6931315881	0.6867114404	0.6994069136	0.6867114401	0.6867114401
77	0.6931313846	0.6867106279	0.6997015859	0.6867106276	0.6867106276
78	0.6931311844	0.6866227548	0.699680872	0.6866227545	0.6866227545
79	0.6931309827	0.6865582455	0.6997877825	0.6865582452	0.6865582452
80	0.6931307808	0.6866151003	0.6997443501	0.6866151	0.6866151
81	0.6931305761	0.6866268254	0.699660158	0.6866268251	0.6866268251
82	0.6931303753	0.6866370671	0.6996508034	0.6866370668	0.6866370668
83	0.6931301729	0.6866443957	0.6999040478	0.6866443954	0.6866443954
84	0.6931299706	0.6866292265	0.6998479197	0.6866292262	0.6866292262
85	0.6931297671	0.686630076	0.6998706382	0.6866300757	0.6866300757
86	0.6931295632	0.6866170536	0.6998960295	0.6866170533	0.6866170533
87	0.6931293649	0.6866394074	0.6996621626	0.686639407	0.686639407
88	0.6931291618	0.6865839898	0.6995813115	0.6865839895	0.6865839895
89	0.6931289617	0.6865648736	0.6995672795	0.6865648733	0.6865648733
90	0.693128759	0.6866103367	0.6993547947	0.6866103364	0.6866103364
