iter	Passed	Remaining
0	338	337951
1	683	341026
2	976	324491
3	1249	311039
4	1707	339709
5	2023	335159
6	2290	324982
7	2678	332072
8	2974	327508
9	3253	322050
10	3627	326149
11	3955	325672
12	4253	322905
13	4611	324785
14	4943	324640
15	5252	323040
16	5742	332070
17	6224	339579
18	6635	342579
19	6957	340902
20	7252	338126
21	7625	338969
22	7954	337899
23	8262	336007
24	8644	337127
25	8966	335894
26	9259	333683
27	9847	341854
28	10249	343179
29	10661	344722
30	10966	342776
31	11265	340768
32	11631	340843
33	11942	339313
34	12225	337063
35	12630	338217
36	12966	337470
37	13256	335590
38	13829	340765
39	14121	338925
40	14428	337493
41	14862	339006
42	15172	337669
43	15517	337143
44	15899	337413
45	16196	335896
46	16575	336092
47	16928	335740
48	17261	335014
49	17866	339472
50	18278	340117
51	18692	340786
52	19003	339544
53	19316	338396
54	19703	338533
55	20015	337410
56	20316	336110
57	20685	335953
58	20983	334669
59	21281	333407
60	21846	336295
61	22140	334971
62	22460	334061
63	22870	334477
64	23160	333157
65	23467	332099
66	23871	332423
67	24162	331166
68	24447	329859
69	24853	330191
70	25152	329107
71	25452	328053
72	26002	330194
73	26313	329279
74	26728	329649
75	27038	328736
76	27344	327774
77	27718	327646
78	28011	326561
79	28319	325673
80	28742	326099
81	29056	325291
82	29357	324351
83	30001	327163
84	30355	326771
85	30752	326837
86	31049	325838
87	31333	324733
88	31724	324735
89	32035	323909
90	32327	322917
91	32712	322853
92	33027	322108
93	33327	321224
94	33887	322824
95	34175	321815
96	34572	321844
97	34908	321304
98	35210	320455
99	35602	320424
100	35919	319716
101	36226	318933
102	36635	319046
103	36962	318445
104	37203	317116
105	37727	318194
106	38193	318753
107	38591	318737
108	38919	318141
109	39225	317367
110	39607	317220
111	39932	316606
112	40243	315890
113	40596	315511
114	40897	314729
115	41195	313940
116	41653	314361
117	42008	313993
118	42308	313223
119	42686	313036
120	43002	312390
121	43295	311587
122	43676	311417
123	43985	310734
124	44285	310000
125	44678	309910
126	44979	309192
127	45282	308488
128	45839	309507
129	46133	308739
130	46442	308077
131	46843	308030
132	47148	307349
133	47435	306562
134	47836	306507
135	48139	305824
136	48466	305301
137	48885	305360
138	49184	304663
139	49670	305116
140	50149	305523
141	50558	305486
142	50895	305015
143	51203	304376
144	51573	304108
145	51914	303662
146	52211	302970
147	52557	302562
148	52891	302082
149	53169	301293
150	53586	301289
151	54020	301375
152	54321	300722
153	54680	300386
154	54989	299779
155	55305	299214
156	55718	299174
157	56271	299879
158	56844	300666
159	57242	300520
160	58134	302948
161	58893	304648
162	59313	304572
163	59842	305052
164	60230	304800
165	60721	305068
166	61084	304690
167	61567	304905
168	62184	305772
169	62699	306118
170	63077	305796
171	63462	305506
172	63942	305666
173	64364	305545
174	64870	305818
175	65236	305426
176	65895	306396
177	66285	306107
178	66834	306544
179	67275	306476
180	67797	306774
181	68160	306345
182	68660	306532
183	69065	306292
184	69580	306528
185	70158	307038
186	70707	307407
187	71120	307179
188	71590	307193
189	72000	306949
190	72371	306536
191	72874	306680
