iter	Passed	Remaining
0	923	922718
1	1644	820788
2	2029	674332
3	2550	635174
4	2937	584464
5	3449	571387
6	3847	545824
7	4232	524806
8	4931	543038
9	5465	541042
10	5861	526976
11	6286	517590
12	6760	513313
13	7154	503861
14	7653	502583
15	8004	492270
16	8713	503833
17	9109	497000
18	9606	496017
19	9950	487589
20	10442	486841
21	11022	489978
22	11555	490858
23	11956	486244
24	12752	497337
25	13295	498088
26	13766	496095
27	14140	490877
28	14695	492059
29	15110	488566
30	15615	488118
31	15990	483707
32	16682	488847
33	17084	485396
34	17639	486358
35	18017	482461
36	18519	482000
37	18904	478576
38	19496	480407
39	19894	477460
40	20525	480091
41	20950	477866
42	21443	477248
43	21843	474599
44	22257	472350
45	22725	471315
46	23120	468811
47	23606	468203
48	23967	465165
49	24719	469668
50	25136	467732
51	25670	467993
52	26050	465463
53	26561	465326
54	26938	462847
55	27455	462817
56	27867	461037
57	28448	462047
58	28949	461726
59	29469	461692
60	29877	459920
61	30327	458833
62	30749	457336
63	31129	455270
64	31631	455008
65	31987	452673
66	32697	455325
67	33150	454361
68	33681	454457
69	34042	452273
70	34563	452246
71	34980	450864
72	35497	450769
73	35888	449086
74	36451	449564
75	37149	451660
76	37648	451288
77	38022	449440
78	38495	448793
79	38873	447050
80	39439	447465
81	39938	447117
82	40664	449268
83	41078	447950
84	41583	447629
85	41990	446271
86	42510	446116
87	42906	444662
88	43435	444608
89	43858	443460
90	44391	443428
91	45127	445390
92	45629	445014
93	45989	443259
94	46476	442754
95	46893	441578
96	47360	440891
97	47742	439429
98	48110	437857
99	48844	439603
100	49205	437979
101	49797	438414
102	50283	437902
103	50739	437136
104	51115	435700
105	51652	435638
106	52056	434453
107	52786	435975
108	53192	434808
109	53703	434509
110	54117	433427
111	54620	433064
112	54977	431549
113	55440	430883
114	55822	429590
115	56218	428420
116	57115	431053
117	57690	431213
118	58091	430074
119	58694	430425
120	59080	429190
121	59548	428553
122	59922	427253
123	60467	427176
124	60906	426345
125	61403	425927
126	61768	424599
127	62134	423293
128	62652	423024
129	63041	421890
130	63538	421485
131	63904	420222
132	64741	422033
133	65448	422973
134	65845	421895
135	66313	421285
136	66743	420436
137	67137	419366
138	67674	419192
139	68044	417989
140	68707	418577
141	69162	417896
142	69897	418895
143	70446	418766
144	70862	417841
145	71250	416764
146	71716	416150
147	72094	415031
148	72793	415753
149	73176	414666
150	73698	414371
151	74087	413331
152	74603	412999
153	74979	411900
154	75482	411499
155	75852	410382
156	76223	409278
157	77055	410638
158	77574	410314
159	77925	409109
160	78446	408799
161	78859	407925
162	79379	407612
163	79814	406859
164	80378	406766
165	80892	406412
166	81407	406063
167	82476	408453
168	82836	407321
169	83155	405995
170	83586	405223
171	83894	403861
172	84204	402528
173	84773	402429
174	85106	401218
175	85593	400734
176	86107	400374
177	86495	399433
178	86831	398260
179	87142	396982
180	87588	396325
181	87897	395054
182	88246	393976
183	88769	393673
184	89079	392433
185	89466	391536
186	89784	390346
187	90094	389131
188	90503	388349
