iter	Passed	Remaining
0	382	305774
1	734	292883
2	1098	291731
3	1373	273330
4	1714	272542
5	1989	263247
6	2249	254852
7	2485	246055
8	2704	237707
9	2999	236951
10	3332	239021
11	3773	247781
12	4155	251559
13	4543	255100
14	5165	270314
15	5713	279953
16	6272	288904
17	6882	299025
18	7230	297220
19	7629	297564
20	7899	293042
21	8302	293611
22	8642	291962
23	8893	287541
24	9166	284151
25	9430	280750
26	9678	277094
27	9943	274144
28	10285	273462
29	10593	271900
30	10899	270381
31	11156	267744
32	11525	267872
33	11944	269110
34	12518	273608
35	13327	282832
36	13683	282180
37	14030	281341
38	14302	279084
39	14548	276425
40	14787	273750
41	15033	271327
42	15271	268856
43	15543	267059
44	15818	265402
45	16113	264128
46	16570	265487
47	17193	269366
48	17801	272838
49	18378	275677
50	18973	278648
51	19381	278801
52	19658	277072
53	19955	275679
54	20259	274430
55	20539	272879
56	20827	271485
57	21110	270071
58	21405	268832
59	21732	268038
60	22044	267064
61	22333	265835
62	22609	264497
63	22882	263151
64	23178	262099
65	23475	261079
66	23762	259970
67	24056	258964
68	24361	258091
69	24638	256947
70	24919	255860
71	25200	254808
72	25498	253939
73	25775	252875
74	26072	252030
75	26371	251223
76	26659	250320
77	26942	249387
78	27229	248516
79	27512	247608
80	27788	246670
81	28057	245677
82	28326	244698
83	28610	243867
84	28891	243027
85	29180	242263
86	29462	241453
87	29746	240674
88	30033	239932
89	30335	239313
90	30619	238563
91	30909	237872
92	31194	237141
93	31469	236353
94	31743	235572
95	32028	234877
96	32315	234204
97	32601	233535
98	32874	232774
99	33454	234183
100	33731	233448
101	34006	232712
102	34286	232013
103	34572	231367
104	34874	230837
105	35150	230137
106	35449	229591
107	35753	229089
108	36036	228449
109	36317	227811
110	36608	227235
111	36887	226592
112	37181	226050
113	37468	225469
114	37758	224907
115	38044	224331
116	38319	223694
117	38574	222945
118	38840	222271
119	39118	221670
120	39385	221012
121	39658	220394
122	39948	219880
123	40217	219252
124	40498	218692
125	40779	218138
126	41058	217579
127	41355	217116
128	41633	216561
129	41920	216053
130	42194	215480
131	42476	214955
132	42757	214431
133	43052	213977
134	43357	213573
135	43759	213647
136	44349	214624
137	44974	215745
138	45674	217198
139	46461	219031
140	47169	220458
141	48014	222487
142	48353	222153
143	48856	222569
144	49518	223684
145	50185	224805
146	51101	227003
147	51971	228953
148	52799	230689
149	53224	230641
150	53916	231732
151	54813	233677
152	55471	234574
153	55859	234319
154	56102	233457
155	56362	232674
156	56592	231778
157	56834	230936
158	57125	230296
159	57384	229537
160	57884	229739
161	58374	229892
162	58830	229909
163	59372	230248
164	59974	230810
165	60504	231083
166	60989	231175
167	61510	231395
168	62101	231869
169	62612	232033
170	63096	232093
171	63586	232164
172	64100	232316
173	64614	232463
174	65087	232455
175	65386	231824
176	65649	231070
177	65929	230383
178	66209	229700
179	66498	229050
180	66767	228338
181	67040	227643
182	67312	226949
183	67597	226303
184	67878	225649
185	68176	225056
186	68445	224369
187	68715	223689
188	68995	223050
189	69284	222438
190	69558	221786
191	69844	221175
192	70123	220543
193	70399	219907
194	70650	219197
195	70929	218578
196	71203	217947
197	71477	217320
198	71763	216734
199	72041	216125
200	72336	215569
201	72601	214929
202	72870	214304
203	73146	213702
204	73432	213134
205	73696	212503
206	73989	211958
207	74247	211319
208	74526	210742
209	74802	210160
210	75092	209617
211	75375	209060
212	75657	208501
213	75919	207892
214	76180	207281
215	76443	206680
216	76711	206097
217	76989	205540
218	77278	205017
219	77556	204468
220	77824	203893
221	78086	203306
222	78369	202775
223	78634	202202
224	78902	201640
225	79173	201085
226	79448	200546
227	79734	200035
228	80017	199520
229	80297	198997
230	80565	198450
231	80833	197903
232	81108	197374
233	81395	196880
234	81696	196419
235	81970	195895
236	82227	195334
237	82500	194812
238	82784	194319
239	83068	193826
240	83346	193321
241	83607	192780
242	83886	192282
243	84163	191783
244	84445	191294
245	84705	190760
246	84977	190253
247	85264	189782
248	85567	189348
249	85843	188856
250	86353	188877
251	87327	189901
252	88057	190386
253	88762	190804
254	89452	191183
255	89798	190822
256	90068	190301
257	90397	189904
258	90638	189325
259	90877	188745
260	91247	188437
261	91480	187848
262	91708	187253
263	91961	186710
264	92221	186183
265	92624	185945
266	92877	185406
267	93114	184840
268	93378	184327
269	93606	183745
270	93844	183188
271	94139	182740
272	94373	182178
273	94612	181628
274	94868	181113
275	95109	180569
276	95398	180120
277	95809	179900
278	96376	179971
279	97196	180508
280	97983	180973
281	98964	181785
282	99523	181815
283	100089	181852
284	100657	181889
285	101088	181676
286	101421	181287
287	101674	180755
288	101986	180329
289	102285	179880
290	102571	179412
291	102959	179121
292	103285	178722
293	103555	178228
294	103890	177847
295	104156	177347
296	104433	176869
297	104702	176378
298	104992	175923
299	105316	175527
300	105661	175166
301	105959	174727
302	106332	174413
303	106585	173902
304	106933	173547
305	107203	173066
306	107482	172601
307	107752	172123
308	107990	171597
309	108224	171065
310	108462	170540
311	108760	170113
312	109014	169616
313	109262	169113
314	109523	168631
315	109766	168123
316	110008	167614
317	110255	167116
318	110608	166778
319	110997	166496
320	111271	166040
321	111665	165764
322	112301	165844
323	112651	165500
324	112943	165070
325	113214	164613
326	113472	164135
327	113733	163665
328	113983	163180
329	114303	162796
330	114828	162703
331	115526	162850
332	116096	162814
333	116535	162590
334	117033	162449
335	117472	162223
336	117879	161953
337	118292	161689
338	118711	161433
339	119144	161195
340	119546	160914
341	120024	160735
342	120432	160459
343	121122	160557
344	121548	160303
345	121952	160018
346	122416	159812
347	123016	159779
348	123481	159570
349	123947	159360
350	124426	159166
351	125103	159222
352	125632	159086
353	126083	158851
354	126451	158509
355	126753	158085
356	127127	157752
357	127489	157402
358	127761	156944
359	128038	156492
360	128311	156035
361	128581	155576
362	128859	155128
363	129128	154670
364	129416	154235
365	129705	153803
