iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6929786168	0.6652134039	0.644930502	0.6652134045	0.6652134045
1	0.6928118709	0.6664168056	0.6544183163	0.6664168059	0.6664168059
2	0.692647497	0.6683097769	0.6687817605	0.6683097769	0.6683097769
3	0.6924840204	0.6680773874	0.6777163384	0.6680773871	0.6680773871
4	0.6923187042	0.6684566553	0.6656175876	0.6684566554	0.6684566554
5	0.6921529474	0.6681843174	0.6688212774	0.6681843174	0.6681843174
6	0.6919892419	0.6684615376	0.6709363712	0.6684615375	0.6684615375
7	0.6918222549	0.6684844778	0.673298916	0.6684844777	0.6684844777
8	0.6916572007	0.6688583665	0.6757019185	0.6688583663	0.6688583663
9	0.691490302	0.6693334156	0.6769899806	0.6693334154	0.6693334154
10	0.6913271874	0.6691002947	0.681106322	0.6691002944	0.6691002944
11	0.6911649598	0.6690822555	0.6825985546	0.6690822551	0.6690822551
12	0.6910027092	0.6691319019	0.6851154034	0.6691319014	0.6691319014
13	0.6908400837	0.6689137503	0.6841914612	0.6689137498	0.6689137498
14	0.6906804925	0.6690887818	0.685712861	0.6690887813	0.6690887813
15	0.6905174474	0.668838761	0.6841246588	0.6688387606	0.6688387606
16	0.6903538081	0.6690203213	0.685597133	0.6690203208	0.6690203208
17	0.6901924273	0.6690588484	0.6860609858	0.6690588479	0.6690588479
18	0.6900302639	0.6691194376	0.6858060079	0.6691194371	0.6691194371
19	0.6898670345	0.6690919136	0.6854757597	0.6690919131	0.6690919131
20	0.6897056697	0.6689817267	0.6849055876	0.6689817263	0.6689817263
21	0.6895469456	0.6690207646	0.6841566487	0.6690207642	0.6690207642
22	0.6893879402	0.6688221692	0.683336203	0.6688221687	0.6688221687
23	0.6892273641	0.6689773724	0.6836005897	0.6689773719	0.6689773719
24	0.6890708057	0.6688250822	0.6841227771	0.6688250817	0.6688250817
25	0.688912017	0.6688284397	0.6835902401	0.6688284392	0.6688284392
26	0.6887562	0.6690164056	0.6823661577	0.6690164052	0.6690164052
27	0.6885992066	0.6688673821	0.6831066288	0.6688673817	0.6688673817
28	0.6884407169	0.6689519424	0.6837595981	0.668951942	0.668951942
29	0.6882842026	0.668884522	0.6831602588	0.6688845216	0.6688845216
30	0.6881265271	0.6689274919	0.6839355423	0.6689274915	0.6689274915
31	0.687969352	0.6688794299	0.6832421152	0.6688794295	0.6688794295
32	0.6878129136	0.668953506	0.683398301	0.6689535055	0.6689535055
33	0.6876561496	0.6688901096	0.6836937367	0.6688901092	0.6688901092
34	0.6875002691	0.668845056	0.683521556	0.6688450556	0.6688450556
35	0.6873436868	0.6689722128	0.6834547536	0.6689722124	0.6689722124
36	0.6871914775	0.6688264852	0.6840418615	0.6688264848	0.6688264848
37	0.687035123	0.6688862623	0.6842178057	0.6688862619	0.6688862619
38	0.6868777447	0.6688106564	0.6845367634	0.668810656	0.668810656
39	0.6867214658	0.6688775813	0.6845207685	0.6688775808	0.6688775808
40	0.6865662332	0.6687972347	0.6841105456	0.6687972343	0.6687972343
41	0.6864128005	0.6688974934	0.6842987213	0.668897493	0.668897493
42	0.6862595427	0.6688986649	0.6839063751	0.6688986645	0.6688986645
43	0.6861061248	0.6688486485	0.6836645694	0.668848648	0.668848648
44	0.6859511667	0.6689657841	0.6837238448	0.6689657837	0.6689657837
45	0.6857990802	0.6688812925	0.6834199412	0.6688812921	0.6688812921
46	0.6856462481	0.6689179838	0.6830915747	0.6689179834	0.6689179834
47	0.6854942719	0.6689586853	0.6822015041	0.668958685	0.668958685
48	0.6853428598	0.6688512544	0.6830624075	0.668851254	0.668851254
49	0.6851925089	0.6688297403	0.6830464126	0.6688297399	0.6688297399
50	0.6850411296	0.6689158549	0.6823670986	0.6689158545	0.6689158545
51	0.684887954	0.6689790198	0.6817602323	0.6689790194	0.6689790194
52	0.6847382551	0.6689411162	0.681638859	0.6689411159	0.6689411159
53	0.6845866182	0.6689739603	0.6818345616	0.66897396	0.66897396
54	0.6844352331	0.6689540819	0.6821704551	0.6689540815	0.6689540815
55	0.6842858943	0.6688487963	0.6820490818	0.6688487959	0.6688487959
56	0.6841373213	0.6689297606	0.6821949179	0.6689297602	0.6689297602
57	0.6839882148	0.6689306041	0.6816350955	0.6689306037	0.6689306037
58	0.6838389226	0.6688564641	0.6816153371	0.6688564637	0.6688564637
59	0.6836888427	0.668808117	0.681839266	0.6688081166	0.6688081166
60	0.6835401478	0.6689465038	0.6817320059	0.6689465034	0.6689465034
61	0.6833897192	0.6690975875	0.6813669453	0.6690975872	0.6690975872
62	0.6832422075	0.6690183915	0.681785636	0.6690183912	0.6690183912
63	0.6830958145	0.669022696	0.6812775618	0.6690226956	0.6690226956
64	0.6829491795	0.668945423	0.6813735314	0.6689454227	0.6689454227
65	0.6828014479	0.6690373521	0.6810536329	0.6690373517	0.6690373517
66	0.682652993	0.6690532866	0.6813857628	0.6690532863	0.6690532863
67	0.6825077789	0.6690629158	0.6812286362	0.6690629155	0.6690629155
68	0.6823611205	0.6690541708	0.6816680262	0.6690541704	0.6690541704
69	0.6822160761	0.6690178029	0.6816783759	0.6690178025	0.6690178025
70	0.6820703395	0.6690704602	0.6815532391	0.6690704599	0.6690704599
71	0.6819250661	0.668982019	0.6813104926	0.6689820186	0.6689820186
72	0.6817781128	0.6689107827	0.681106322	0.6689107824	0.6689107824
73	0.6816337281	0.6689508665	0.6804806381	0.6689508661	0.6689508661
74	0.6814881883	0.6689486211	0.6812427494	0.6689486208	0.6689486208
75	0.681342529	0.669007022	0.6808852157	0.6690070217	0.6690070217
76	0.6812007619	0.6689943565	0.681014116	0.6689943561	0.6689943561
77	0.6810582519	0.6689210657	0.6810414015	0.6689210654	0.6689210654
78	0.6809138261	0.6689868132	0.6808108863	0.6689868129	0.6689868129
79	0.6807718034	0.6689333706	0.6807525519	0.6689333703	0.6689333703
80	0.6806306146	0.6689693465	0.6807111533	0.6689693462	0.6689693462
81	0.6804921507	0.6689775389	0.6805210959	0.6689775386	0.6689775386
82	0.6803500235	0.6690206962	0.6804016044	0.6690206959	0.6690206959
83	0.6802133038	0.6689673525	0.6804420621	0.6689673522	0.6689673522
84	0.6800728391	0.6689302028	0.6806330604	0.6689302025	0.6689302025
85	0.6799315887	0.6690064916	0.6800346619	0.6690064913	0.6690064913
86	0.6797911835	0.669045277	0.6801955521	0.6690452766	0.6690452766
87	0.6796488648	0.6689982049	0.6806114202	0.6689982046	0.6689982046
88	0.6795106435	0.6690086484	0.6802661179	0.6690086481	0.6690086481
89	0.6793698061	0.6690357118	0.6802162514	0.6690357115	0.6690357115
90	0.6792274473	0.6690448512	0.6800506569	0.6690448509	0.6690448509
91	0.6790876307	0.6690402175	0.6802698815	0.6690402172	0.6690402172
92	0.678948288	0.6690816169	0.6806782225	0.6690816166	0.6690816166
93	0.6788082018	0.6690115545	0.6803244524	0.6690115542	0.6690115542
94	0.6786686294	0.6690791366	0.6807647833	0.6690791363	0.6690791363
95	0.6785307913	0.6690967639	0.6805841347	0.6690967636	0.6690967636
96	0.6783933898	0.6691374758	0.6807864235	0.6691374755	0.6691374755
97	0.6782561588	0.6690571979	0.6807252664	0.6690571976	0.6690571976
98	0.678121424	0.6690599074	0.6807073898	0.6690599071	0.6690599071
