iter	Passed	Remaining
0	319	255423
1	521	207956
2	727	193333
3	997	198408
4	1297	206358
5	1548	204958
6	1849	209528
7	2064	204372
8	2274	199945
9	2545	201060
10	2809	201527
11	3125	205267
12	3450	208885
13	3711	208383
14	4044	211667
15	4305	210963
16	4579	210918
17	4826	209680
18	5090	209261
19	5323	207622
20	5529	205103
21	5749	203332
22	6024	203535
23	6280	203081
24	6491	201224
25	6692	199220
26	6912	197891
27	7169	197678
28	7431	197575
29	7663	196695
30	7888	195692
31	8110	194652
32	8327	193550
33	8575	193208
34	8844	193319
35	9090	192912
36	9352	192854
37	9611	192743
38	9890	192984
39	10162	193093
40	10389	192326
41	10646	192145
42	10864	191258
43	11083	190437
44	11384	191003
45	11656	191065
46	11897	190619
47	12149	190339
48	12427	190473
49	12643	189656
50	12866	188960
51	13129	188869
52	13438	189402
53	13652	188610
54	13859	187731
55	14120	187602
56	14415	187910
57	14683	187843
58	14983	188179
59	15234	187890
60	15492	187686
61	15719	187112
62	15950	186591
63	16222	186558
64	16505	186644
65	16761	186404
66	16980	185766
67	17277	185987
68	17577	186223
69	17814	185779
70	18100	185848
71	18402	186069
72	18678	186018
73	18923	185651
74	19169	185302
75	19385	184670
76	19605	184087
77	19834	183593
78	20083	183289
79	20311	182805
80	20535	182285
81	20756	181742
82	20973	181181
83	21192	180642
84	21408	180081
85	21619	179494
86	21837	178968
87	22070	178572
88	22298	178135
89	22531	177751
90	22753	177276
91	23012	177097
92	23344	177467
93	23603	177276
94	23882	177236
95	24132	176968
96	24360	176549
97	24595	176185
98	24879	176167
99	25175	176228
100	25439	176061
101	25676	175710
102	25937	175515
103	26221	175483
104	26523	175562
105	26783	175354
106	27005	174905
107	27256	174644
108	27505	174372
109	27709	173811
110	27920	173310
111	28135	172832
112	28337	172284
113	28559	171860
114	28822	171683
115	29123	171727
116	29359	171386
117	29584	170989
118	29822	170665
119	30106	170601
120	30342	170269
121	30553	169799
122	30822	169648
123	31109	169594
124	31389	169505
125	31707	169607
126	32312	171228
127	32817	172290
128	33150	172433
129	33509	172702
130	33765	172436
131	34058	172355
132	34345	172245
133	34673	172331
134	34952	172173
135	35221	171965
136	35486	171735
137	35755	171520
138	36011	171247
139	36275	171014
140	36537	170768
141	36794	170500
142	37059	170265
143	37313	169985
144	37563	169681
145	37826	169441
146	38089	169198
147	38342	168915
148	38597	168636
149	38862	168404
150	39117	168129
151	39368	167834
152	39625	167564
153	39912	167423
154	40204	167302
155	40515	167257
156	40834	167241
157	41133	167136
158	41361	166747
159	41620	166481
160	41875	166201
161	42119	165877
162	42346	165488
163	42623	165296
164	42879	165021
165	43183	164929
166	43427	164608
167	43688	164353
168	43930	164025
169	44180	163728
170	44412	163366
171	44654	163040
172	44896	162717
173	45159	162468
174	45389	162106
175	45616	161730
176	45827	161301
177	46060	160952
178	46290	160594
179	46538	160299
180	46776	159969
181	47012	159636
182	47247	159297
183	47485	158974
184	47706	158590
185	47945	158273
186	48189	157969
187	48425	157639
188	48663	157318
189	48901	157000
190	49148	156710
191	49383	156381
192	49616	156048
193	49837	155677
194	50070	155346
195	50300	155007
196	50530	154668
197	50758	154326
198	50984	153977
199	51332	153996
200	51551	153630
201	51768	153255
202	51991	152899
203	52220	152565
204	52440	152204
205	52653	151826
206	52864	151442
207	53069	151042
208	53283	150671
209	53508	150334
210	53738	150009
211	53964	149675
212	54254	149518
213	54471	149159
214	54696	148826
215	54906	148451
216	55142	148146
217	55377	147841
218	55598	147500
219	55833	147196
220	56070	146898
221	56295	146571
222	56563	146354
223	56839	146157
224	57585	147162
225	58006	147327
226	58316	147205
227	58800	147518
228	59158	147508
229	59530	147532
230	59917	147589
231	60303	147638
232	60674	147649
233	60932	147383
234	61216	147179
235	61490	146950
236	61958	147184
237	62255	147006
238	62615	146977
239	62874	146706
240	63132	146434
241	63394	146173
242	63646	145889
243	63907	145625
244	64169	145363
245	64427	145093
246	64657	144759
247	64907	144471
248	65170	144213
249	65428	143942
250	65668	143634
251	65949	143414
252	66207	143145
253	66460	142864
254	66707	142571
255	66970	142312
256	67204	141991
257	67438	141672
258	67674	141359
259	67892	141008
260	68131	140700
261	68386	140428
262	68626	140123
263	68864	139816
264	69100	139505
265	69327	139176
266	69549	138838
267	69760	138478
268	69984	138148
269	70206	137812
270	70428	137479
271	70643	137130
272	70856	136780
273	71071	136435
274	71295	136110
275	71521	135787
276	71746	135462
277	71959	135117
278	72174	134777
279	72391	134441
280	72599	134089
281	72813	133749
282	73032	133420
283	73248	133084
284	73473	132768
285	73699	132453
286	73923	132134
287	74143	131810
288	74373	131505
289	74599	131191
290	74825	130880
291	75053	130572
292	75276	130256
293	75487	129920
294	75704	129596
295	75938	129300
296	76188	129033
297	76505	128878
298	76726	128561
299	76964	128273
300	77185	127958
301	77401	127635
302	77618	127315
303	77833	126990
304	78048	126669
305	78262	126345
306	78473	126016
307	78680	125684
308	78904	125379
309	79121	125062
310	79340	124750
311	79565	124448
312	79790	124146
313	80011	123839
314	80242	123548
315	80513	123318
316	80777	123077
317	81039	122833
318	81333	122638
319	81636	122455
320	81923	122246
321	82188	122006
322	82427	121726
323	82663	121444
324	82877	121128
325	83109	120840
326	83335	120543
327	83555	120238
328	83778	119937
329	84008	119648
330	84233	119352
331	84457	119055
332	84674	118747
333	84889	118439
334	85124	118157
335	85346	117858
336	85561	117552
337	85769	117234
338	86009	116962
339	86438	116946
340	86660	116648
341	86895	116369
342	87121	116077
343	87355	115797
344	87620	115556
345	87854	115277
346	88067	114970
347	88276	114657
348	88488	114350
349	88710	114056
350	88934	113765
351	89153	113468
352	89366	113164
353	89591	112874
354	89813	112582
355	90034	112290
356	90253	111994
357	90486	111717
358	90703	111421
359	90913	111116
360	91123	110812
361	91325	110498
362	91530	110189
363	91766	109917
364	91982	109623
365	92204	109335
366	92408	109026
367	92620	108728
368	92840	108439
369	93074	108167
370	93294	107879
371	93521	107600
372	93741	107312
373	93953	107016
374	94192	106751
375	94411	106463
376	94623	106168
377	94839	105878
378	95069	105604
379	95288	105318
380	95504	105030
381	95730	104751
382	95946	104464
383	96215	104233
384	96433	103948
385	96645	103655
386	96862	103370
387	97176	103187
388	97391	102899
389	97612	102617
