iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.691470123	0.6652134039	0.644930502	0.6652134045	0.6652134045
1	0.6898411924	0.6664168056	0.6544183163	0.6664168059	0.6664168059
2	0.6882642318	0.6683097769	0.6687817605	0.6683097769	0.6683097769
3	0.6867242147	0.6680773874	0.6777163384	0.6680773871	0.6680773871
4	0.6851938682	0.6684566553	0.6656175876	0.6684566554	0.6684566554
5	0.6836884554	0.668884442	0.6781914819	0.6688844418	0.6688844418
6	0.6822166281	0.6686665639	0.6751364508	0.6686665637	0.6686665637
7	0.6807881609	0.6687362424	0.6763087849	0.6687362422	0.6687362422
8	0.6793765015	0.6688647764	0.6803028122	0.6688647761	0.6688647761
9	0.6779811484	0.6689105949	0.6888130541	0.6689105944	0.6689105944
10	0.6766295355	0.6690878884	0.6844596114	0.6690878879	0.6690878879
11	0.6753216221	0.6690882654	0.6829128079	0.669088265	0.669088265
12	0.6740099366	0.6691133618	0.6785734783	0.6691133615	0.6691133615
13	0.6727385367	0.668922179	0.681392349	0.6689221787	0.6689221787
14	0.6714861504	0.6688642108	0.6826230175	0.6688642105	0.6688642105
15	0.6702518051	0.669129879	0.6818119806	0.6691298786	0.6691298786
16	0.6690391763	0.6691775337	0.6843024848	0.6691775333	0.6691775333
17	0.6678597822	0.6692363267	0.6839760001	0.6692363262	0.6692363262
18	0.6666874902	0.6693028001	0.6845508766	0.6693027996	0.6693027996
19	0.6655387746	0.6691842044	0.6854371837	0.6691842039	0.6691842039
20	0.6644387236	0.6690376217	0.6853703813	0.6690376212	0.6690376212
21	0.6633590372	0.6689578999	0.6854240114	0.6689578994	0.6689578994
22	0.6622775741	0.6690032163	0.6857787224	0.6690032159	0.6690032159
23	0.661226923	0.6690941065	0.6860638085	0.669094106	0.669094106
24	0.6602014596	0.6690615625	0.6865286022	0.669061562	0.669061562
25	0.6592077499	0.6690465365	0.6856215958	0.6690465361	0.6690465361
26	0.6582309375	0.668990445	0.6850805909	0.6689904445	0.6689904445
27	0.6572530687	0.669207189	0.6855999556	0.6692071885	0.6692071885
28	0.6563174986	0.6691942034	0.6864109925	0.6691942029	0.6691942029
29	0.6553926665	0.6691537928	0.6869905733	0.6691537923	0.6691537923
30	0.6544771642	0.66921503	0.6862209351	0.6692150295	0.6692150295
31	0.6536433936	0.6691389251	0.6855604387	0.6691389246	0.6691389246
32	0.6527532465	0.6692762043	0.6857090974	0.6692762039	0.6692762039
33	0.6519059826	0.6693258195	0.684948868	0.6693258191	0.6693258191
34	0.6510754091	0.6692673838	0.6850711821	0.6692673833	0.6692673833
35	0.6502419251	0.6693148141	0.6845725168	0.6693148137	0.6693148137
36	0.6494404012	0.6693540824	0.6840136352	0.6693540819	0.6693540819
37	0.6486599796	0.6693131122	0.6841143092	0.6693131117	0.6693131117
38	0.6479033993	0.6693852256	0.6838725035	0.6693852252	0.6693852252
39	0.647151511	0.6693230031	0.6840183396	0.6693230027	0.6693230027
40	0.6464026146	0.6694051715	0.6837643025	0.6694051711	0.6694051711
41	0.6456772952	0.6692425692	0.6847230573	0.6692425688	0.6692425688
42	0.6449460472	0.6693152284	0.6835036793	0.669315228	0.669315228
43	0.6442363408	0.6694453668	0.6845725168	0.6694453664	0.6694453664
44	0.6435598357	0.669416925	0.6838461589	0.6694169246	0.6694169246
45	0.6428996866	0.6695368038	0.6840014038	0.6695368034	0.6695368034
46	0.6422354845	0.6694997472	0.6836843279	0.6694997468	0.6694997468
47	0.6415913631	0.6695568485	0.683991995	0.6695568481	0.6695568481
48	0.6409445805	0.6695937062	0.6839901133	0.6695937058	0.6695937058
49	0.6403133078	0.6695423553	0.6841782889	0.6695423549	0.6695423549
50	0.6396981699	0.6694774513	0.6838489815	0.6694774509	0.6694774509
51	0.6391060121	0.6695468262	0.6839966994	0.6695468258	0.6695468258
52	0.6385199786	0.6695554153	0.6843231841	0.6695554148	0.6695554148
53	0.6379538397	0.6695187484	0.6837944106	0.669518748	0.669518748
54	0.6373792554	0.6695837421	0.683251524	0.6695837417	0.6695837417
55	0.6368174224	0.6694803853	0.6834142959	0.6694803849	0.6694803849
56	0.636278923	0.6694970028	0.6834669851	0.6694970024	0.6694970024
57	0.6357458933	0.6695167195	0.6832901	0.6695167191	0.6695167191
58	0.6352154256	0.6695438143	0.6831113332	0.6695438139	0.6695438139
59	0.634709738	0.6695491704	0.6833333804	0.66954917	0.66954917
60	0.6342101272	0.6695325866	0.6833945375	0.6695325862	0.6695325862
61	0.6337140475	0.6696104145	0.6832919817	0.6696104141	0.6696104141
62	0.6332368479	0.6696314063	0.6833070358	0.6696314059	0.6696314059
63	0.6327564943	0.6696097258	0.6829645562	0.6696097254	0.6696097254
64	0.6322991251	0.6696403421	0.6823369905	0.6696403418	0.6696403418
65	0.6318623184	0.669473717	0.6825223435	0.6694737166	0.6694737166
66	0.631422867	0.6695399601	0.6829071626	0.6695399597	0.6695399597
67	0.6309850468	0.6694977811	0.6829222167	0.6694977808	0.6694977808
