iter	Passed	Remaining
0	229	183467
1	392	156574
2	552	146880
3	705	140417
4	859	136682
5	1013	134102
6	1171	132748
7	1335	132219
8	1483	130365
9	1638	129428
10	1786	128155
11	1939	127336
12	2099	127086
13	2250	126347
14	2402	125755
15	2549	124946
16	2707	124690
17	2865	124500
18	3008	123679
19	3166	123478
20	3321	123196
21	3475	122918
22	3633	122762
23	3787	122468
24	3951	122497
25	4104	122176
26	4260	121988
27	4408	121542
28	4552	121043
29	4707	120828
30	4868	120767
31	5014	120346
32	5160	119950
33	5304	119500
34	5455	119245
35	5603	118928
36	5751	118599
37	5899	118296
38	6051	118091
39	6195	117720
40	6333	117254
41	6474	116855
42	6626	116654
43	6765	116241
44	6914	116008
45	7069	115876
46	7217	115628
47	7366	115404
48	7512	115142
49	7665	114976
50	7822	114890
51	7978	114771
52	8126	114534
53	8271	114276
54	8426	114141
55	8573	113904
56	8735	113870
57	8886	113684
58	9038	113515
59	9189	113334
60	9339	113148
61	9495	113024
62	9650	112896
63	9806	112774
64	9998	113055
65	10181	113229
66	10338	113107
67	10494	112970
68	10644	112766
69	10798	112609
70	10963	112564
71	11112	112363
72	11262	112162
73	11414	111990
74	11575	111896
75	11763	112061
76	11954	112246
77	12129	112276
78	12287	112145
79	12438	111942
80	12597	111823
81	12754	111677
82	12919	111605
83	13092	111599
84	13254	111495
85	13416	111384
86	13573	111240
87	13733	111113
88	13883	110908
89	14033	110706
90	14176	110455
91	14329	110271
92	14474	110033
93	14630	109885
94	14787	109737
95	14945	109601
96	15098	109423
97	15240	109172
98	15386	108948
99	15533	108736
100	15674	108477
101	15817	108239
102	15971	108078
103	16131	107956
104	16298	107879
105	16457	107747
106	16621	107651
107	16771	107462
108	16924	107291
109	17081	107144
110	17238	107002
111	17387	106808
112	17531	106584
113	17678	106380
114	17829	106199
115	17981	106030
116	18141	105900
117	18295	105744
118	18504	105897
119	18666	105775
120	18839	105718
121	18997	105578
122	19166	105496
123	19334	105404
124	19513	105370
125	19740	105596
126	19975	105853
127	20291	106530
128	20529	106786
129	20712	106750
130	20895	106710
131	21071	106633
132	21229	106465
133	21427	106496
134	21594	106371
135	21759	106237
136	21917	106069
137	22088	105959
138	22252	105820
139	22408	105641
140	22568	105479
141	22721	105287
142	22879	105115
143	23081	105147
144	23231	104942
145	23393	104789
146	23557	104645
147	23714	104470
148	23866	104277
149	24023	104102
150	24175	103906
151	24321	103687
152	24473	103491
153	24660	103446
154	24843	103379
155	24997	103194
156	25149	103002
157	25302	102812
158	25459	102640
159	25627	102509
160	25819	102477
161	25987	102345
162	26142	102164
163	26293	101967
164	26451	101797
165	26617	101659
166	26823	101670
167	27008	101603
168	27182	101492
169	27343	101333
170	27541	101308
171	27706	101159
172	27898	101111
173	28057	100942
174	28212	100759
175	28363	100563
176	28516	100370
177	28669	100180
178	28817	99975
179	28965	99770
180	29121	99592
181	29309	99522
182	29495	99447
183	29663	99308
184	29834	99178
185	30001	99037
186	30162	98874
187	30322	98709
188	30487	98560
189	30665	98453
190	30819	98266
191	30993	98144
192	31212	98166
193	31413	98127
194	31600	98043
195	31843	98129
196	32026	98030
197	32214	97944
198	32395	97837
199	32570	97712
200	32758	97624
201	32931	97488
202	33102	97351
203	33295	97275
204	33519	97287
205	33677	97109
206	33842	96950
207	34003	96779
208	34156	96586
209	34321	96426
210	34472	96228
211	34630	96050
212	34788	95872
213	34947	95696
214	35106	95522
215	35253	95314
216	35403	95116
217	35552	94914
218	35707	94731
219	35859	94537
