iter	Passed	Remaining
0	390	38670
1	1697	83179
2	2924	94570
3	4472	107332
4	5721	108703
5	6995	109597
6	7160	95138
7	7350	84536
8	7588	76729
9	9299	83692
10	10480	84794
11	10788	79118
12	10879	72808
13	12110	74396
14	12554	71140
15	13734	72105
16	14033	68514
17	14116	64306
18	15342	65408
19	15424	61698
20	16764	63066
21	17982	63755
22	19248	64441
23	20585	65185
24	20898	62694
25	21461	61081
26	21580	58347
27	22786	58594
28	24043	58864
29	25166	58722
30	26349	58648
31	27657	58771
32	28210	57275
33	28334	55002
34	29530	54842
35	30517	54254
36	31613	53827
37	32720	53385
38	33881	52994
39	35110	52665
40	36346	52303
41	37325	51544
42	38637	51216
43	38721	49281
44	38842	47473
45	39952	46900
46	40136	45260
47	40254	43609
48	40761	42424
49	42013	42013
50	42105	40454
51	42181	38936
52	42386	37588
53	43543	37092
54	43902	35920
55	45481	35735
56	46069	34754
57	47088	34098
58	47376	32922
59	47540	31693
60	48684	31126
61	48786	29901
62	49101	28837
63	49210	27680
64	50142	26999
65	51117	26333
66	52093	25657
67	53225	25047
68	54258	24376
69	55439	23759
70	55634	22724
71	56855	22110
72	58081	21482
73	59033	20741
74	59671	19890
75	59782	18878
76	59933	17902
77	61096	17232
78	62004	16482
79	62319	15579
80	63079	14796
81	64721	14207
82	65096	13333
83	65241	12426
84	65345	11531
85	66861	10884
86	68031	10165
87	68133	9290
88	69587	8600
89	70115	7790
90	71231	7044
91	71425	6210
92	71542	5384
93	72899	4653
94	74225	3906
95	75541	3147
96	75637	2339
97	76392	1559
98	76480	772
99	77626	0
