iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6472870616	0.8215453831	0.7923745101	0.821545383	0.821545383
1	0.6097140788	0.8270672486	0.7963582358	0.8270672485	0.8270672485
2	0.5782781717	0.8283282124	0.8016249407	0.8283282124	0.8283282124
3	0.5515686103	0.8289176157	0.8004742531	0.8289176157	0.8289176157
4	0.5301184246	0.8283219135	0.8020592567	0.8283219135	0.8283219135
5	0.5125708848	0.8266839973	0.8030327235	0.8266839973	0.8266839973
6	0.4959636367	0.8275157246	0.8030726606	0.8275157246	0.8275157246
7	0.4816337009	0.8281421726	0.8037515912	0.8281421725	0.8281421725
8	0.4693862822	0.8290350884	0.8034944962	0.8290350884	0.8290350884
9	0.4591867045	0.8289292096	0.8035369293	0.8289292096	0.8289292096
10	0.4498183751	0.8292530693	0.8034595512	0.8292530692	0.8292530692
11	0.4420039087	0.8295553667	0.8021615955	0.8295553667	0.8295553667
12	0.4349361472	0.8300809877	0.8018845319	0.8300809877	0.8300809877
13	0.4287440878	0.8303186981	0.8019818785	0.830318698	0.830318698
14	0.423541211	0.8303980305	0.8016399171	0.8303980304	0.8303980304
15	0.4187925541	0.8309597957	0.8018346105	0.8309597957	0.8309597957
16	0.4148529445	0.8311475847	0.8016873424	0.8311475846	0.8311475846
17	0.4113599431	0.8312467144	0.8014002945	0.8312467143	0.8312467143
18	0.4082267213	0.8313531868	0.8014751766	0.8313531867	0.8313531867
19	0.4059375886	0.831386821	0.8016324289	0.8313868209	0.8313868209
20	0.4034909239	0.8315490476	0.8016523975	0.8315490476	0.8315490476
21	0.4015528134	0.8315435455	0.8019718943	0.8315435455	0.8315435455
22	0.3997011404	0.8314474	0.8020317999	0.8314474	0.8314474
23	0.3978766617	0.8317701999	0.8019718943	0.8317701998	0.8317701998
24	0.3968057258	0.831655783	0.8018246262	0.831655783	0.831655783
25	0.3954912806	0.8317644428	0.8017871852	0.8317644427	0.8317644427
26	0.3945407521	0.8318313207	0.8017522402	0.8318313207	0.8318313207
27	0.3933130564	0.8319166732	0.8016923346	0.8319166731	0.8319166731
28	0.3923434906	0.8321153827	0.8017971695	0.8321153827	0.8321153827
29	0.3914072863	0.8322909802	0.8020542645	0.8322909801	0.8322909801
30	0.3906093958	0.8324044727	0.8020642488	0.8324044726	0.8324044726
31	0.3898949833	0.8324555893	0.8021366348	0.8324555893	0.8324555893
32	0.3892773574	0.8323981817	0.8020917056	0.8323981817	0.8323981817
33	0.3890792145	0.8324575057	0.8023338242	0.8324575057	0.8324575057
34	0.3885054081	0.8326148319	0.8023837456	0.8326148318	0.8326148318
35	0.387963203	0.8326848892	0.8022963832	0.8326848891	0.8326848891
36	0.3874672014	0.8327309778	0.8021466191	0.8327309778	0.8327309778
37	0.3869871555	0.8328625464	0.8021890522	0.8328625464	0.8328625464
38	0.3867619739	0.8328018917	0.8022739186	0.8328018917	0.8328018917
39	0.3864900086	0.8328742638	0.802326336	0.8328742638	0.8328742638
40	0.3861117881	0.8329306794	0.8023113596	0.8329306793	0.8329306793
41	0.385770495	0.8330128525	0.8023038714	0.8330128524	0.8330128524
42	0.385398467	0.8330644353	0.8022414697	0.8330644352	0.8330644352
43	0.385048875	0.8332969822	0.8022714225	0.8332969821	0.8332969821
44	0.3848375387	0.8333906097	0.8023038714	0.8333906097	0.8333906097
45	0.3845277837	0.8334265667	0.8021940444	0.8334265666	0.8334265666
46	0.3842971054	0.8334725199	0.8021990365	0.8334725198	0.8334725198
47	0.3840658329	0.8334102795	0.802106682	0.8334102794	0.8334102794
48	0.3838108244	0.8334566311	0.8020542645	0.833456631	0.833456631
49	0.3835843308	0.8335533703	0.8021116741	0.8335533702	0.8335533702
50	0.3834725362	0.833513708	0.8020792252	0.833513708	0.833513708
51	0.3831898271	0.8334488819	0.8021566033	0.8334488819	0.8334488819
52	0.3829857782	0.833622563	0.802216509	0.8336225629	0.8336225629
53	0.3828127681	0.8336865923	0.80225395	0.8336865922	0.8336865922
54	0.3825991636	0.8337088398	0.8022938871	0.8337088397	0.8337088397
55	0.3825662003	0.8337387687	0.8023088635	0.8337387687	0.8337387687
56	0.3823521377	0.8338800029	0.8024461473	0.8338800028	0.8338800028
57	0.3823334505	0.8338643093	0.8024761001	0.8338643093	0.8338643093
58	0.3821639898	0.8338656998	0.8024785962	0.8338656997	0.8338656997
59	0.3819964064	0.8339436338	0.8025409979	0.8339436337	0.8339436337
60	0.381786095	0.8341106932	0.8026083918	0.8341106931	0.8341106931
61	0.3817156537	0.8340974499	0.8026233682	0.8340974498	0.8340974498
62	0.3815576666	0.8341214862	0.8026083918	0.8341214862	0.8341214862
63	0.3814445445	0.8341214862	0.8026083918	0.8341214862	0.8341214862
64	0.3813490513	0.8341159244	0.8025984075	0.8341159243	0.8341159243
65	0.381192298	0.8342012768	0.8025385019	0.8342012768	0.8342012768
66	0.3809774557	0.8343878705	0.8025634625	0.8343878705	0.8343878705
67	0.3809421722	0.8344105165	0.8025459901	0.8344105164	0.8344105164
68	0.3807573231	0.8344309751	0.8026408407	0.834430975	0.834430975
69	0.3806220562	0.8344883827	0.8026857699	0.8344883826	0.8344883826
70	0.3806063966	0.8344671273	0.8027057385	0.8344671272	0.8344671272
71	0.3804306732	0.8345311565	0.8027431795	0.8345311565	0.8345311565
72	0.3804101801	0.8345384396	0.8027756284	0.8345384395	0.8345384395
73	0.3802446894	0.8346696098	0.8028754711	0.8346696097	0.8346696097
74	0.3800953681	0.8347450935	0.8029528493	0.8347450934	0.8347450934
75	0.3799382397	0.8348255454	0.8029228964	0.8348255454	0.8348255454
76	0.3798252464	0.8347639664	0.802870479	0.8347639663	0.8347639663
77	0.3798013482	0.8347681378	0.8028779672	0.8347681377	0.8347681377
78	0.3797371891	0.8347858155	0.8029678257	0.8347858154	0.8347858154
79	0.3797176805	0.8347847557	0.8029852982	0.8347847556	0.8347847556
80	0.3795663792	0.834797999	0.8029703217	0.834797999	0.834797999
81	0.3794272904	0.8348769928	0.803015251	0.8348769927	0.8348769927
82	0.3792914511	0.834950094	0.8030302274	0.8349500939	0.8349500939
83	0.3791374469	0.8349271174	0.8030277313	0.8349271173	0.8349271173
84	0.3790166444	0.8350639172	0.8030601802	0.8350639171	0.8350639171
85	0.3789134256	0.8350743795	0.8030402117	0.8350743795	0.8350743795
86	0.3788947455	0.8350938461	0.8030751566	0.835093846	0.835093846
87	0.3788700503	0.8351154322	0.8030751566	0.8351154322	0.8351154322
88	0.3786931594	0.8351161613	0.8030377156	0.8351161613	0.8351161613
89	0.3786771662	0.8351388072	0.8030202431	0.8351388072	0.8351388072
90	0.3785506473	0.8351217909	0.8029703217	0.8351217909	0.8351217909
91	0.3785334853	0.835099145	0.8029877942	0.835099145	0.835099145
92	0.3784187045	0.8352115778	0.803015251	0.8352115777	0.8352115777
93	0.3784082824	0.8352366062	0.8030601802	0.8352366061	0.8352366061
94	0.3782819682	0.8352651447	0.8030726606	0.8352651446	0.8352651446
95	0.3781485026	0.8352898424	0.8030976212	0.8352898424	0.8352898424
96	0.3779929666	0.8353078508	0.8032074483	0.8353078507	0.8353078507
97	0.3778272842	0.8354733843	0.8034271023	0.8354733842	0.8354733842
98	0.3778188554	0.8354368337	0.8034196141	0.8354368336	0.8354368336
99	0.377806742	0.835432993	0.8034320945	0.8354329929	0.8354329929
