iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6887953324	0.8058574092	0.769677948	0.8058574093	0.8058574093
1	0.6846009112	0.8106158792	0.7796575333	0.8106158793	0.8106158793
2	0.6803785636	0.8129636058	0.7789576013	0.812963606	0.812963606
3	0.676212785	0.8147333822	0.7774605247	0.8147333824	0.8147333824
4	0.6721700191	0.814130286	0.7755357118	0.8141302862	0.8141302862
5	0.6681467027	0.8148932153	0.7771549988	0.8148932155	0.8148932155
6	0.6642108934	0.8144053194	0.775263516	0.8144053195	0.8144053195
7	0.6603611462	0.8145064883	0.7759940006	0.8145064884	0.8145064884
8	0.6564990105	0.814318657	0.7755468218	0.8143186572	0.8143186572
9	0.6527510154	0.8146677613	0.7771161137	0.8146677614	0.8146677614
10	0.6491169937	0.8146750929	0.7770911161	0.814675093	0.814675093
11	0.6455373238	0.8146249739	0.7778382657	0.814624974	0.814624974
12	0.6420343674	0.8155817184	0.779535323	0.8155817185	0.8155817185
13	0.6385934305	0.8144158943	0.7775244073	0.8144158945	0.8144158945
14	0.6351865867	0.8144065718	0.7773938645	0.814406572	0.814406572
15	0.6318552491	0.8142521942	0.7769300207	0.8142521944	0.8142521944
16	0.6285783505	0.8141421473	0.7774188621	0.8141421474	0.8141421474
17	0.6253331152	0.8138940972	0.7771688864	0.8138940974	0.8138940974
18	0.6221691779	0.8144598728	0.7782104518	0.8144598729	0.8144598729
19	0.6190040209	0.8145673051	0.7789520463	0.8145673053	0.8145673053
20	0.6159081754	0.8147707336	0.7787048481	0.8147707338	0.8147707338
21	0.6128698815	0.8154130913	0.7801102671	0.8154130914	0.8154130914
22	0.6098812548	0.8148808727	0.7792992348	0.8148808729	0.8148808729
23	0.6069486479	0.8157760395	0.7816851139	0.8157760396	0.8157760396
24	0.6040785535	0.8158794594	0.7817545516	0.8158794595	0.8158794595
25	0.601297612	0.8158612394	0.7816462288	0.8158612396	0.8158612396
26	0.5985204655	0.8157776781	0.7815740136	0.8157776782	0.8157776782
27	0.5957791773	0.8160886116	0.7819545322	0.8160886118	0.8160886118
28	0.5930954725	0.8160345836	0.7822767231	0.8160345838	0.8160345838
29	0.5904425747	0.8160626965	0.7824405961	0.8160626966	0.8160626966
30	0.5878293392	0.8163107466	0.7826905717	0.8163107467	0.8163107467
31	0.585255125	0.8164269423	0.7828016721	0.8164269424	0.8164269424
32	0.5827583119	0.8166184757	0.7831794131	0.8166184759	0.8166184759
33	0.580283973	0.8165973002	0.7831988557	0.8165973003	0.8165973003
34	0.5778318774	0.8167258774	0.7835599317	0.8167258775	0.8167258775
35	0.5754220634	0.8169163119	0.7836127043	0.8169163121	0.8169163121
36	0.5730237606	0.8169806579	0.7834988265	0.816980658	0.816980658
37	0.570673288	0.8170269908	0.7837710223	0.8170269909	0.8170269909
38	0.5684153167	0.817155143	0.7839793353	0.8171551431	0.8171551431
39	0.5661216939	0.8172762124	0.7842320885	0.8172762125	0.8172762125
40	0.5639209823	0.8172431111	0.7845153943	0.8172431112	0.8172431112
41	0.5617416468	0.8172522154	0.7849875707	0.8172522156	0.8172522156
42	0.559552188	0.8172312887	0.7850264558	0.8172312889	0.8172312889
43	0.5574306494	0.8172917144	0.7853236491	0.8172917145	0.8172917145
44	0.5553210035	0.8172637357	0.7857680503	0.8172637358	0.8172637358
45	0.5532928281	0.8174026001	0.7859763634	0.8174026002	0.8174026002
46	0.5513095732	0.8172609982	0.7855541822	0.8172609983	0.8172609983
47	0.5493194992	0.8173300725	0.7858097129	0.8173300726	0.8173300726
48	0.5473559917	0.8173511026	0.786018026	0.8173511028	0.8173511028
49	0.5453889062	0.8176346699	0.7862929993	0.81763467	0.81763467
50	0.5434734791	0.8177582699	0.7862652242	0.8177582701	0.8177582701
51	0.5416285097	0.8176760256	0.786176344	0.8176760257	0.8176760257
52	0.5398222124	0.8177123621	0.7861457914	0.8177123622	0.8177123622
53	0.5379718344	0.8178097674	0.7862235616	0.8178097675	0.8178097675
54	0.5361788854	0.8178682749	0.7862513367	0.817868275	0.817868275
55	0.5344273461	0.8178717589	0.7865235324	0.817871759	0.817871759
56	0.5326589369	0.8178007245	0.7864735373	0.8178007246	0.8178007246
57	0.5309428084	0.8179684176	0.786542975	0.8179684178	0.8179684178
58	0.5292167047	0.818129453	0.7868096157	0.8181294532	0.8181294532
59	0.5275667967	0.8180147505	0.7868151707	0.8180147506	0.8180147506
60	0.5259265993	0.8180575266	0.7869290486	0.8180575267	0.8180575267
61	0.5243168724	0.8179626826	0.7869318261	0.8179626827	0.8179626827
62	0.5227237946	0.8180783079	0.7871179191	0.818078308	0.818078308
63	0.5211239926	0.8181301576	0.7873428972	0.8181301578	0.8181301578
64	0.519586366	0.8180843532	0.7874706626	0.8180843533	0.8180843533
65	0.5180753565	0.8182076317	0.7875373228	0.8182076318	0.8182076318
66	0.5165793971	0.8182985246	0.7875845404	0.8182985248	0.8182985248
67	0.5150960876	0.8183033984	0.7877261933	0.8183033985	0.8183033985
68	0.5136343215	0.8184031888	0.7877511909	0.818403189	0.818403189
69	0.512184688	0.8184359993	0.7879233963	0.8184359995	0.8184359995
70	0.510771205	0.818506536	0.7879345064	0.8185065362	0.8185065362
71	0.5093678815	0.8185589562	0.7880844918	0.8185589563	0.8185589563
72	0.5079820771	0.8186860403	0.7883289125	0.8186860404	0.8186860404
73	0.5065952938	0.8186677476	0.7883344675	0.8186677477	0.8186677477
74	0.5052389254	0.8186880311	0.7884844529	0.8186880313	0.8186880313
75	0.5039198503	0.8187266074	0.7886288833	0.8187266075	0.8187266075
76	0.5026379281	0.818708242	0.7887483161	0.8187082421	0.8187082421
77	0.5013607265	0.8187978907	0.788698321	0.8187978908	0.8187978908
78	0.500086627	0.818837535	0.7888066438	0.8188375352	0.8188375352
79	0.4988162764	0.8187708766	0.7888594164	0.8187708768	0.8187708768
80	0.4975931533	0.8187671745	0.7889288541	0.8187671746	0.8187671746
81	0.49639822	0.818763545	0.788884414	0.8187635452	0.8187635452
82	0.4951883505	0.8188387066	0.7890177344	0.8188387068	0.8188387068
83	0.4940017718	0.8187882046	0.7891371672	0.8187882047	0.8187882047
