iter	Passed	Remaining
0	101	10061
1	138	6768
2	175	5671
3	213	5130
4	250	4756
5	290	4555
6	332	4412
7	372	4287
8	413	4179
9	452	4069
10	498	4035
11	544	3992
12	594	3979
13	632	3885
14	683	3875
15	774	4064
16	862	4208
17	922	4201
18	979	4176
19	1025	4100
20	1062	3996
21	1099	3899
22	1140	3817
23	1179	3734
24	1221	3665
25	1263	3594
26	1303	3524
27	1346	3461
28	1386	3395
29	1428	3332
30	1471	3274
31	1510	3210
32	1553	3154
33	1595	3097
34	1636	3039
35	1679	2986
36	1718	2925
37	1756	2865
38	1793	2805
39	1840	2760
40	1879	2705
41	1921	2652
42	1957	2594
43	1994	2538
44	2031	2482
45	2076	2438
46	2124	2395
47	2167	2348
48	2227	2318
49	2273	2273
50	2316	2226
51	2360	2178
52	2397	2126
53	2435	2074
54	2471	2022
55	2505	1968
56	2545	1920
57	2589	1875
58	2632	1829
59	2672	1781
60	2707	1731
61	2745	1682
62	2791	1639
63	2836	1595
64	2876	1548
65	2912	1500
66	2949	1452
67	2991	1407
68	3038	1364
69	3080	1320
70	3124	1276
71	3163	1230
72	3205	1185
73	3251	1142
74	3295	1098
75	3337	1053
76	3376	1008
77	3415	963
78	3461	920
79	3504	876
80	3545	831
81	3584	786
82	3623	742
83	3669	698
84	3711	655
85	3753	610
86	3795	567
87	3839	523
88	3881	479
89	3921	435
90	3962	391
91	4002	348
92	4041	304
93	4084	260
94	4130	217
95	4170	173
96	4207	130
97	4248	86
98	4295	43
99	4339	0
