iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6866055359	0.8058574092	0.769677948	0.8058574093	0.8058574093
1	0.6800078663	0.8109691597	0.7644562334	0.8109691599	0.8109691599
2	0.673729859	0.8141399936	0.7840654381	0.8141399937	0.8141399937
3	0.6675283675	0.8139219971	0.7825766939	0.8139219972	0.8139219972
4	0.6614417264	0.8158353048	0.7809351869	0.815835305	0.815835305
5	0.6555719924	0.8160948219	0.7832766259	0.816094822	0.816094822
6	0.6497621976	0.8163049501	0.7823572708	0.8163049502	0.8163049502
7	0.6440673624	0.8165587127	0.7838904551	0.8165587128	0.8165587128
8	0.6384734938	0.8175713337	0.782779452	0.8175713339	0.8175713339
9	0.6330850841	0.8180124298	0.7847209299	0.81801243	0.81801243
10	0.6276866771	0.8173893993	0.7857819379	0.8173893994	0.8173893994
11	0.6226040288	0.8170994651	0.7852486564	0.8170994652	0.8170994652
12	0.6175633641	0.8172379772	0.7851903287	0.8172379773	0.8172379773
13	0.6127395896	0.8174987611	0.7859569209	0.8174987612	0.8174987612
14	0.6082254523	0.8176591113	0.7868873859	0.8176591115	0.8176591115
15	0.6036368042	0.8178173366	0.7870540364	0.8178173367	0.8178173367
16	0.5992316891	0.8178329645	0.7867207355	0.8178329647	0.8178329647
17	0.5948775469	0.8179115374	0.7872401294	0.8179115376	0.8179115376
18	0.5907997438	0.8179341222	0.7882872499	0.8179341223	0.8179341223
19	0.5866911408	0.8175042862	0.7879428389	0.8175042863	0.8175042863
20	0.5826630629	0.8174817936	0.7879789465	0.8174817937	0.8174817937
21	0.5788646709	0.8174744732	0.7871679142	0.8174744734	0.8174744734
22	0.5750657577	0.817555079	0.7873678948	0.8175550792	0.8175550792
23	0.5714333887	0.8173687409	0.7870373714	0.817368741	0.817368741
24	0.5677199553	0.8176610602	0.7875178802	0.8176610604	0.8176610604
25	0.5641381311	0.8176711713	0.7872317969	0.8176711714	0.8176711714
26	0.5606782331	0.817670819	0.7869651562	0.8176708191	0.8176708191
27	0.5572542579	0.817552487	0.7869262711	0.8175524871	0.8175524871
28	0.5539143614	0.817503302	0.7870290388	0.8175033021	0.8175033021
29	0.5506277283	0.8174570418	0.7866429653	0.817457042	0.817457042
30	0.54751541	0.8176186477	0.7868346133	0.8176186478	0.8176186478
31	0.5443094384	0.8177276459	0.7875789854	0.8177276461	0.8177276461
32	0.5413555284	0.8177046137	0.7880511617	0.8177046138	0.8177046138
33	0.5385368291	0.8179306382	0.7880150541	0.8179306383	0.8179306383
34	0.5356482522	0.8179883991	0.7879845015	0.8179883992	0.8179883992
35	0.5329546774	0.8180156507	0.7886788784	0.8180156508	0.8180156508
36	0.5302772971	0.8180203176	0.788326135	0.8180203177	0.8180203177
37	0.5276232471	0.8180717423	0.7883983502	0.8180717424	0.8180717424
38	0.5251100806	0.8183505085	0.7884177927	0.8183505087	0.8183505087
39	0.5225076866	0.8184648168	0.7886205508	0.8184648169	0.8184648169
40	0.5199921179	0.8185088372	0.7888316414	0.8185088373	0.8185088373
41	0.5175530217	0.8186767065	0.7890343994	0.8186767066	0.8186767066
42	0.515134138	0.8185835738	0.7888121988	0.8185835739	0.8185835739
43	0.5127350591	0.8185473827	0.7886149958	0.8185473829	0.8185473829
44	0.5105020967	0.8186309021	0.7891621648	0.8186309022	0.8186309022
45	0.5083064473	0.8186768827	0.7891677198	0.8186768828	0.8186768828
46	0.5062218428	0.8187550726	0.789059397	0.8187550727	0.8187550727
47	0.5040986258	0.818896996	0.7893871429	0.8188969961	0.8188969961
48	0.5020807227	0.8189045765	0.7893815879	0.8189045766	0.8189045766
49	0.5000665565	0.8188698058	0.789414918	0.818869806	0.818869806
50	0.4981232587	0.8189166057	0.7893649229	0.8189166058	0.8189166058
51	0.4961112764	0.81886824	0.7894121405	0.8188682401	0.8188682401
52	0.4942343641	0.8189369619	0.7894010305	0.8189369621	0.8189369621
53	0.4924515109	0.8190889237	0.7895565709	0.8190889238	0.8190889238
54	0.4907219866	0.8190207722	0.7894926882	0.8190207723	0.8190207723
