iter	Passed	Remaining
0	138	110340
1	211	84277
2	282	75075
3	352	70107
4	425	67622
5	494	65390
6	565	64049
7	637	63147
8	706	62124
9	775	61267
10	845	60632
11	912	59930
12	986	59709
13	1063	59680
14	1139	59623
15	1219	59739
16	1293	59563
17	1370	59561
18	1465	60247
19	1535	59890
20	1605	59561
21	1674	59202
22	1750	59143
23	1833	59298
24	1907	59136
25	1986	59147
26	2061	59013
27	2139	58976
28	2217	58962
29	2290	58784
30	2365	58672
31	2438	58515
32	2511	58378
33	2590	58359
34	2662	58185
35	2736	58078
36	2811	57974
37	2890	57952
38	2969	57944
39	3047	57905
40	3122	57811
41	3194	57646
42	3267	57526
43	3337	57347
44	3408	57192
45	3481	57061
46	3556	56981
47	3626	56808
48	3699	56698
49	3771	56579
50	3842	56428
51	3919	56376
52	3999	56366
53	4073	56279
54	4153	56257
55	4242	56359
56	4321	56334
57	4400	56293
58	4478	56244
59	4559	56231
60	4637	56177
61	4712	56094
62	4799	56151
63	4893	56271
64	4981	56327
65	5060	56277
66	5141	56250
67	5231	56318
68	5312	56281
69	5393	56251
70	5472	56190
71	5557	56188
72	5641	56181
73	5722	56146
74	5803	56100
75	5887	56086
76	5973	56090
77	6058	56084
78	6142	56060
79	6229	56065
80	6312	56030
81	6395	56003
82	6475	55938
83	6558	55903
84	6638	55845
85	6716	55758
86	6791	55663
87	6870	55591
88	6950	55527
89	7029	55457
90	7116	55446
91	7197	55393
92	7279	55336
93	7358	55265
94	7436	55190
95	7517	55126
96	7603	55107
97	7680	55019
98	7756	54921
99	7835	54849
100	7921	54823
101	8003	54767
102	8090	54750
103	8175	54711
104	8257	54656
105	8341	54615
106	8422	54551
107	8503	54485
108	8587	54443
109	8670	54386
110	8750	54319
111	8834	54269
112	8915	54200
113	8996	54137
114	9086	54126
115	9172	54086
116	9264	54084
117	9347	54026
118	9427	53951
119	9512	53904
120	9605	53901
121	9700	53911
122	9783	53848
123	9865	53784
124	9946	53713
125	10035	53681
126	10127	53666
127	10218	53649
128	10300	53581
129	10384	53519
130	10467	53453
131	10553	53406
132	10635	53336
133	10718	53270
134	10800	53201
135	10886	53152
136	10973	53103
137	11061	53060
138	11149	53021
139	11234	52963
140	11315	52885
141	11404	52844
142	11483	52757
143	11615	52914
144	11710	52898
145	11805	52880
146	11893	52832
147	11978	52769
148	12060	52695
149	12148	52643
150	12231	52571
151	12344	52626
152	12441	52610
153	12532	52573
154	12643	52613
155	12724	52527
156	12816	52489
157	12921	52502
158	13016	52474
159	13133	52533
160	13217	52457
161	13318	52453
162	13409	52404
163	13486	52301
164	13575	52243
165	13659	52170
166	13758	52151
167	13850	52103
168	13936	52033
169	14021	51963
170	14112	51911
171	14201	51852
172	14283	51769
173	14368	51692
174	14455	51627
175	14541	51556
176	14630	51496
177	14715	51422
178	14799	51342
179	14887	51279
180	14977	51220
181	15063	51149
182	15153	51091
183	15233	50998
184	15315	50915
185	15404	50849
186	15486	50764
187	15573	50697
188	15661	50629
189	15743	50546
190	15822	50448
191	15905	50367
192	15984	50273
193	16071	50202
194	16157	50129
195	16237	50038
196	16318	49950
197	16405	49880
198	16489	49799
199	16574	49724
200	16662	49654
201	16741	49561
202	16823	49475
203	16910	49406
204	16998	49336
205	17087	49272
206	17176	49204
207	17262	49131
208	17343	49042
209	17427	48963
210	17513	48887
211	17598	48811
212	17683	48732
213	17765	48648
214	17848	48564
215	17933	48487
216	18018	48409
217	18097	48316
218	18184	48242
219	18266	48156
220	18344	48061
221	18424	47968
222	18501	47871
223	18586	47794
224	18670	47712
225	18749	47620
226	18830	47531
227	18916	47456
228	18999	47374
229	19083	47293
230	19168	47215
231	19258	47151
232	19335	47053
233	19417	46967
234	19501	46885
235	19566	46760
236	19643	46664
237	19727	46582
238	19806	46491
239	19890	46410
240	19976	46336
241	20060	46254
242	20144	46175
243	20236	46111
244	20314	46018
245	20395	45931
246	20480	45853
247	20560	45762
248	20650	45697
249	20725	45595
250	20800	45495
251	20878	45402
252	20959	45316
253	21042	45233
254	21128	45157
255	21210	45073
256	21289	44981
257	21374	44902
258	21454	44814
259	21539	44735
260	21620	44649
261	21703	44566
