iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.6881292488	0.7638394425	0.7196920079	0.763839441	0.763839441
1	0.683357781	0.7662942885	0.7171680059	0.7662942868	0.7662942868
2	0.6783694226	0.7696565678	0.7249104086	0.7696565663	0.7696565663
3	0.6736131797	0.7699779563	0.7255014723	0.7699779548	0.7699779548
4	0.6687890815	0.7722046426	0.7258422659	0.772204641	0.772204641
5	0.664256004	0.7745142963	0.7273492122	0.7745142946	0.7745142946
6	0.6598258256	0.7748394418	0.7291703275	0.7748394402	0.7748394402
7	0.6554001596	0.7748085287	0.7280361241	0.7748085271	0.7748085271
8	0.651216151	0.7754024407	0.7289466818	0.7754024391	0.7754024391
9	0.6472553508	0.7753691587	0.7289626565	0.7753691571	0.7753691571
10	0.6434276317	0.7755928009	0.7301820583	0.7755927993	0.7755927993
11	0.6394543052	0.7755859964	0.7295590451	0.7755859948	0.7755859948
12	0.6356805923	0.7758680244	0.7302086828	0.7758680228	0.7758680228
13	0.6319437245	0.7762188268	0.7304802526	0.7762188253	0.7762188253
14	0.6283845184	0.7761076134	0.7302299824	0.7761076119	0.7761076119
15	0.6248012546	0.776014683	0.7299743872	0.7760146814	0.7760146814
16	0.6213176705	0.7757597165	0.7289839561	0.7757597149	0.7757597149
17	0.6180434175	0.7757287397	0.7288987577	0.7757287381	0.7757287381
18	0.6148874027	0.7758438211	0.7294525472	0.7758438196	0.7758438196
19	0.6117137607	0.7760920304	0.7299424378	0.7760920289	0.7760920289
20	0.6085048725	0.776089678	0.7299211383	0.7760896764	0.7760896764
21	0.6054602153	0.776069279	0.7305175269	0.7760692775	0.7760692775
22	0.6026298071	0.77610515	0.7311352152	0.7761051484	0.7761051484
23	0.5998294343	0.7762495034	0.7310020927	0.7762495019	0.7762495019
24	0.5969733765	0.7762973423	0.7310446919	0.7762973408	0.7762973408
25	0.5942270489	0.7761307432	0.7306346747	0.7761307417	0.7761307417
26	0.5915157983	0.7761040765	0.7307837718	0.776104075	0.776104075
27	0.5888878857	0.7762703281	0.7315079581	0.7762703266	0.7762703266
28	0.5861786726	0.7763676796	0.7310713164	0.7763676781	0.7763676781
29	0.5836444445	0.776809202	0.7319445998	0.7768092005	0.7768092005
30	0.5811465463	0.7769231154	0.7319020006	0.7769231138	0.7769231138
31	0.57878625	0.7768490046	0.7318168022	0.7768490031	0.7768490031
32	0.5764522936	0.7769648284	0.7318647263	0.7769648268	0.7769648268
33	0.5741794191	0.7772674445	0.7324078659	0.7772674429	0.7772674429
34	0.5719896124	0.7771703931	0.7324078659	0.7771703916	0.7771703916
35	0.5698957393	0.7774407061	0.7330734783	0.7774407046	0.7774407046
36	0.5677765398	0.7774342327	0.7333077738	0.7774342312	0.7774342312
37	0.5657257211	0.7774042821	0.7334515461	0.7774042806	0.7774042806
38	0.5637134762	0.7775439306	0.7332758244	0.7775439291	0.7775439291
39	0.5618579367	0.7776763635	0.7338402637	0.777676362	0.777676362
40	0.5598349703	0.7777238075	0.7340745592	0.777723806	0.777723806
41	0.5579624138	0.777638866	0.7338668882	0.7776388645	0.7776388645
42	0.5561709134	0.7777574843	0.7338668882	0.7777574828	0.7777574828
43	0.5544995243	0.7777833141	0.7339787111	0.7777833126	0.7777833126
44	0.5528493128	0.7777350331	0.7340053355	0.7777350316	0.7777350316
45	0.5511438944	0.777835463	0.7342556058	0.7778354616	0.7778354616
46	0.5494600937	0.7779153048	0.734612374	0.7779153034	0.7779153034
47	0.547812615	0.7780119614	0.7348040704	0.7780119599	0.7780119599
48	0.5462136046	0.7782122372	0.7350064165	0.7782122357	0.7782122357
49	0.5447361337	0.7781371949	0.7349371928	0.7781371935	0.7781371935
50	0.5432188257	0.7782671334	0.7351129145	0.778267132	0.778267132
51	0.5416753548	0.7783266873	0.735139539	0.7783266858	0.7783266858
52	0.5402180763	0.7783552643	0.7350809651	0.7783552629	0.7783552629
53	0.5388225438	0.7783809522	0.7348253699	0.7783809507	0.7783809507
54	0.537430159	0.7782735595	0.7347561463	0.778273558	0.778273558
55	0.5360103721	0.7783448757	0.7348892687	0.7783448742	0.7783448742
56	0.5346810514	0.7784663831	0.73508629	0.7784663817	0.7784663817
57	0.5333472914	0.7785508825	0.7353631847	0.7785508811	0.7785508811
58	0.5320342465	0.7786605804	0.7353312353	0.7786605789	0.7786605789
59	0.5307978701	0.7788346317	0.735613455	0.7788346302	0.7788346302
60	0.5296223157	0.7787408643	0.7356187799	0.7787408629	0.7787408629
