iter	Passed	Remaining
0	106	85413
1	147	59001
2	185	49373
3	222	44178
4	258	41049
5	294	38916
6	329	37356
7	365	36214
8	402	35416
9	440	34817
10	478	34309
11	515	33872
12	571	34592
13	608	34142
14	645	33758
15	681	33398
16	721	33224
17	760	33028
18	797	32794
19	841	32816
20	895	33216
21	956	33815
22	1007	34029
23	1045	33799
24	1086	33678
25	1125	33517
26	1164	33332
27	1202	33151
28	1240	32982
29	1278	32823
30	1317	32676
31	1357	32571
32	1397	32478
33	1436	32355
34	1476	32266
35	1516	32179
36	1553	32031
37	1603	32157
38	1659	32381
39	1704	32388
40	1748	32370
41	1784	32211
42	1826	32151
43	1865	32048
44	1902	31927
45	1943	31858
46	1984	31791
47	2025	31727
48	2064	31646
49	2104	31560
50	2142	31466
51	2180	31370
52	2219	31281
53	2257	31185
54	2295	31095
55	2331	30970
56	2367	30856
57	2404	30754
58	2444	30695
59	2480	30589
60	2518	30506
61	2555	30421
62	2593	30335
63	2631	30260
64	2668	30172
65	2706	30100
66	2742	30008
67	2779	29917
68	2817	29851
69	2854	29764
70	2891	29687
71	2933	29656
72	2975	29628
73	3014	29574
74	3057	29552
75	3100	29536
76	3138	29469
77	3180	29439
78	3218	29378
79	3257	29317
80	3299	29290
81	3338	29232
82	3376	29171
83	3413	29097
84	3452	29044
85	3489	28973
86	3527	28911
87	3565	28849
88	3608	28829
89	3644	28753
90	3682	28689
91	3718	28614
92	3755	28547
93	3792	28484
94	3830	28424
95	3867	28359
96	3902	28286
97	3941	28231
98	3978	28172
99	4016	28114
100	4054	28059
101	4091	27996
102	4128	27937
103	4165	27876
104	4201	27811
105	4238	27752
106	4274	27686
107	4310	27622
108	4347	27558
109	4385	27508
110	4423	27458
111	4461	27408
112	4499	27354
113	4536	27298
114	4574	27247
115	4610	27188
116	4647	27130
117	4683	27069
118	4719	27010
119	4757	26960
120	4795	26909
121	4832	26856
122	4869	26804
123	4906	26748
124	4946	26709
125	4983	26657
126	5020	26606
127	5058	26558
128	5097	26512
129	5134	26460
130	5172	26412
131	5208	26359
132	5244	26302
133	5281	26249
134	5317	26191
135	5353	26136
136	5390	26084
137	5429	26045
138	5465	25989
139	5502	25939
140	5536	25874
141	5573	25826
142	5610	25775
143	5646	25721
144	5683	25672
145	5720	25622
146	5757	25575
147	5796	25537
148	5834	25491
149	5877	25467
150	5915	25423
151	5953	25382
152	5992	25340
153	6030	25297
154	6069	25256
155	6107	25213
156	6144	25166
157	6181	25118
158	6219	25073
159	6257	25031
160	6294	24983
161	6330	24932
162	6367	24885
163	6405	24839
164	6443	24797
165	6482	24758
166	6518	24709
167	6557	24668
168	6594	24623
169	6630	24572
170	6666	24523
171	6702	24472
172	6738	24423
173	6775	24377
174	6814	24338
175	6851	24291
176	6887	24241
177	6925	24201
178	6963	24158
179	7001	24116
180	7039	24075
181	7076	24028
182	7114	23985
183	7150	23937
184	7186	23891
185	7224	23847
186	7260	23800
187	7295	23748
188	7331	23702
189	7368	23655
190	7406	23614
191	7444	23572
192	7481	23530
193	7514	23472
194	7552	23433
195	7588	23385
196	7627	23346
197	7664	23302
198	7701	23258
199	7739	23218
200	7777	23178
201	7815	23135
202	7853	23095
203	7888	23047
204	7930	23016
205	7968	22975
206	8007	22938
207	8046	22902
208	8085	22864
209	8122	22820
210	8163	22788
211	8203	22752
212	8242	22714
213	8284	22686
214	8323	22648
215	8362	22609
216	8405	22583
217	8445	22547
218	8486	22514
219	8527	22482
220	8568	22448
221	8606	22406
222	8646	22371
223	8682	22326
224	8721	22289
225	8761	22252
226	8803	22221
227	8841	22181
228	8880	22143
229	8921	22109
230	8960	22071
231	8999	22033
232	9038	21995
233	9078	21958
234	9115	21915
235	9153	21876
236	9191	21835
237	9229	21793
