iter	Passed	Remaining
0	142	114015
1	210	84164
2	285	75887
3	362	72059
4	440	70076
5	519	68747
6	598	67797
7	674	66740
8	748	65797
9	826	65264
10	902	64704
11	975	64042
12	1047	63403
13	1117	62724
14	1184	62010
15	1265	62009
16	1341	61795
17	1415	61488
18	1498	61588
19	1576	61468
20	1651	61265
21	1729	61152
22	1806	61040
23	1882	60878
24	1960	60783
25	2033	60522
26	2103	60212
27	2172	59902
28	2244	59662
29	2314	59417
30	2388	59256
31	2468	59241
32	2542	59088
33	2623	59102
34	2695	58908
35	2766	58710
36	2844	58660
37	2919	58551
38	2999	58531
39	3078	58493
40	3151	58348
41	3220	58114
42	3294	58002
43	3367	57863
44	3443	57778
45	3524	57770
46	3599	57667
47	3679	57645
48	3753	57528
49	3825	57388
50	3897	57241
51	3972	57141
52	4045	57013
53	4113	56833
54	4182	56656
55	4258	56577
56	4336	56527
57	4411	56437
58	4483	56314
59	4553	56164
60	4625	56034
61	4704	55996
62	4777	55889
63	4850	55779
64	4929	55738
65	5007	55692
66	5087	55658
67	5160	55556
68	5236	55471
69	5315	55434
70	5390	55344
71	5461	55222
72	5535	55130
73	5609	55036
74	5685	54960
75	5762	54893
76	5834	54784
77	5906	54672
78	5979	54571
79	6057	54520
80	6130	54419
81	6200	54290
82	6274	54204
83	6345	54084
84	6416	53975
85	6495	53926
86	6564	53800
87	6636	53691
88	6708	53592
89	6781	53501
90	6861	53461
91	6942	53426
92	7025	53407
93	7104	53356
94	7176	53255
95	7246	53139
96	7324	53083
97	7400	53011
98	7469	52887
99	7548	52841
100	7620	52742
101	7691	52632
102	7761	52522
103	7837	52450
104	7908	52349
105	7980	52246
106	8056	52177
107	8125	52061
108	8192	51938
109	8269	51872
110	8341	51777
111	8414	51691
112	8494	51643
113	8566	51549
114	8642	51481
115	8715	51390
116	8793	51331
117	8872	51277
118	8945	51194
119	9018	51102
120	9089	51007
121	9161	50913
122	9225	50777
123	9295	50677
124	9371	50604
125	9460	50607
126	9540	50557
127	9617	50489
128	9689	50398
129	9761	50306
130	9835	50226
131	9910	50152
132	9991	50106
133	10070	50049
134	10144	49970
135	10221	49907
136	10299	49844
137	10376	49775
138	10455	49718
139	10532	49651
140	10610	49592
141	10689	49530
142	10766	49464
143	10838	49373
144	10912	49295
145	10984	49204
146	11057	49121
147	11128	49027
148	11199	48933
149	11275	48858
150	11354	48802
151	11434	48747
152	11509	48672
153	11588	48610
154	11666	48546
155	11743	48478
156	11824	48429
157	11903	48366
158	11983	48309
159	12062	48249
160	12138	48176
161	12215	48107
162	12289	48026
163	12364	47949
164	12434	47853
165	12505	47761
166	12579	47682
167	12650	47588
168	12718	47486
169	12792	47406
170	12864	47321
171	12937	47237
172	13015	47171
173	13085	47075
174	13154	46979
175	13206	46821
176	13278	46738
177	13341	46621
178	13423	46571
179	13497	46492
180	13568	46401
181	13643	46327
182	13714	46240
183	13794	46182
184	13876	46131
185	13955	46069
186	14031	45996
187	14107	45923
188	14180	45843
189	14257	45775
190	14332	45698
191	14401	45606
192	14471	45512
193	14540	45421
194	14614	45341
195	14683	45250
196	14756	45169
197	14833	45101
198	14911	45033
199	14991	44974
200	15072	44918
201	15168	44905
202	15252	44855
203	15331	44791
204	15406	44717
205	15483	44646
206	15563	44585
207	15639	44512
208	15716	44443
209	15795	44378
210	15872	44307
211	15954	44251
212	16028	44173
213	16097	44081
214	16166	43987
215	16242	43913
216	16312	43826
217	16383	43739
218	16455	43656
219	16526	43569
220	16599	43488
221	16672	43408
222	16742	43320
223	16814	43237
224	16888	43158
225	16957	43068
226	17029	42987
227	17105	42914
228	17174	42824
229	17247	42742
230	17327	42680
231	17401	42604
232	17472	42517
233	17544	42437
234	17615	42353
235	17688	42272
236	17767	42206
237	17844	42136
238	17928	42083
239	18008	42019
240	18084	41948
241	18163	41880
242	18230	41787
243	18293	41685
244	18368	41610
245	18446	41541
246	18518	41460
247	18589	41376
248	18660	41294
249	18733	41214
250	18804	41129
251	18876	41049
252	18950	40971
253	19022	40890
254	19094	40810
255	19169	40735
256	19249	40670
257	19322	40591
258	19396	40515
259	19472	40442
260	19554	40381
261	19631	40312
262	19707	40238
263	19788	40176
264	19865	40106
265	19942	40035
266	20022	39970
267	20100	39900
268	20169	39814
269	20243	39737
270	20318	39661
271	20386	39573
272	20455	39486
273	20532	39416
274	20602	39331
275	20672	39247
276	20748	39175
277	20818	39090
278	20895	39020
279	20972	38948
280	21049	38877
281	21130	38813
282	21199	38729
283	21275	38655
284	21354	38588
285	21431	38516
286	21507	38443
287	21593	38387
288	21664	38305
289	21735	38224
290	21814	38156
291	21894	38090
292	21972	38020
293	22054	37957
294	22132	37887
295	22206	37810
296	22282	37737
297	22352	37653
298	22428	37581
299	22502	37504
300	22575	37425
301	22648	37348
302	22713	37255
303	22789	37183
304	22860	37100
305	22928	37015
306	22994	36926
307	23075	36860
308	23152	36789
309	23232	36722
310	23315	36660
311	23397	36595
312	23470	36517
313	23543	36440
314	23616	36362
315	23686	36280
316	23758	36199
317	23837	36130
318	23914	36059
319	23991	35987
320	24065	35910
321	24135	35828
322	24204	35745
323	24277	35666
324	24351	35591
325	24427	35516
326	24499	35438
327	24577	35368
328	24657	35299
329	24739	35234
330	24817	35164
331	24894	35092
332	24974	35024
333	25053	34954
334	25130	34882
335	25209	34813
336	25289	34745
337	25365	34671
338	25446	34604
339	25522	34530
340	25574	34424
341	25647	34346
342	25730	34282
343	25803	34204
344	25874	34124
345	25944	34043
346	26022	33971
347	26091	33888
348	26137	33776
349	26212	33702
350	26285	33624
351	26354	33541
